"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"11/10/2013 00:05:00","CAPITL",61757,32.02,1.74,-4.63
"11/10/2013 00:05:00","CENTRL",61754,26.18,-0.03,-0.57
"11/10/2013 00:05:00","DUNWOD",61760,32.10,2.90,-3.56
"11/10/2013 00:05:00","GENESE",61753,25.16,-0.92,-0.44
"11/10/2013 00:05:00","H Q",61844,25.05,-0.59,0.00
"11/10/2013 00:05:00","HUD VL",61758,32.08,2.92,-3.52
"11/10/2013 00:05:00","LONGIL",61762,32.77,3.56,-3.57
"11/10/2013 00:05:00","MHK VL",61756,26.86,0.59,-0.63
"11/10/2013 00:05:00","MILLWD",61759,32.12,2.90,-3.58
"11/10/2013 00:05:00","N.Y.C.",61761,32.36,3.15,-3.57
"11/10/2013 00:05:00","NORTH",61755,24.90,-0.74,0.00
"11/10/2013 00:05:00","NPX",61845,32.26,2.59,-4.03
"11/10/2013 00:05:00","O H",61846,24.38,-1.85,-0.59
"11/10/2013 00:05:00","PJM",61847,25.27,-1.10,-0.73
"11/10/2013 00:05:00","WEST",61752,24.52,-1.69,-0.57
"11/10/2013 00:10:00","CAPITL",61757,27.89,1.80,0.00
"11/10/2013 00:10:00","CENTRL",61754,26.09,0.00,0.00
"11/10/2013 00:10:00","DUNWOD",61760,29.01,2.92,0.00
"11/10/2013 00:10:00","GENESE",61753,25.23,-0.86,0.00
"11/10/2013 00:10:00","H Q",61844,25.46,-0.63,0.00
"11/10/2013 00:10:00","HUD VL",61758,29.04,2.95,0.00
"11/10/2013 00:10:00","LONGIL",61762,29.64,3.55,0.00
"11/10/2013 00:10:00","MHK VL",61756,26.69,0.60,0.00
"11/10/2013 00:10:00","MILLWD",61759,29.01,2.92,0.00
"11/10/2013 00:10:00","N.Y.C.",61761,29.27,3.18,0.00
"11/10/2013 00:10:00","NORTH",61755,25.28,-0.81,0.00
"11/10/2013 00:10:00","NPX",61845,28.70,2.61,0.00
"11/10/2013 00:10:00","O H",61846,24.34,-1.75,0.00
"11/10/2013 00:10:00","PJM",61847,25.02,-1.07,0.00
"11/10/2013 00:10:00","WEST",61752,24.47,-1.62,0.00
"11/10/2013 00:15:00","CAPITL",61757,25.50,1.67,0.00
"11/10/2013 00:15:00","CENTRL",61754,23.86,0.02,0.00
"11/10/2013 00:15:00","DUNWOD",61760,26.48,2.65,0.00
"11/10/2013 00:15:00","GENESE",61753,23.07,-0.76,0.00
"11/10/2013 00:15:00","H Q",61844,23.26,-0.57,0.00
"11/10/2013 00:15:00","HUD VL",61758,26.53,2.69,0.00
"11/10/2013 00:15:00","LONGIL",61762,27.08,3.24,0.00
"11/10/2013 00:15:00","MHK VL",61756,24.38,0.55,0.00
"11/10/2013 00:15:00","MILLWD",61759,26.46,2.62,0.00
"11/10/2013 00:15:00","N.Y.C.",61761,26.67,2.83,0.00
"11/10/2013 00:15:00","NORTH",61755,23.12,-0.71,0.00
"11/10/2013 00:15:00","NPX",61845,26.27,2.43,0.00
"11/10/2013 00:15:00","O H",61846,22.29,-1.55,0.00
"11/10/2013 00:15:00","PJM",61847,22.90,-0.93,0.00
"11/10/2013 00:15:00","WEST",61752,22.43,-1.41,0.00
"11/10/2013 00:20:00","CAPITL",61757,22.99,1.48,0.00
"11/10/2013 00:20:00","CENTRL",61754,21.55,0.04,0.00
"11/10/2013 00:20:00","DUNWOD",61760,23.85,2.34,0.00
"11/10/2013 00:20:00","GENESE",61753,20.90,-0.60,0.00
"11/10/2013 00:20:00","H Q",61844,20.99,-0.52,0.00
"11/10/2013 00:20:00","HUD VL",61758,23.89,2.39,0.00
"11/10/2013 00:20:00","LONGIL",61762,24.39,2.88,0.00
"11/10/2013 00:20:00","MHK VL",61756,22.00,0.50,0.00
"11/10/2013 00:20:00","MILLWD",61759,23.83,2.32,0.00
"11/10/2013 00:20:00","N.Y.C.",61761,24.04,2.54,0.00
"11/10/2013 00:20:00","NORTH",61755,20.88,-0.62,0.00
"11/10/2013 00:20:00","NPX",61845,23.66,2.15,0.00
"11/10/2013 00:20:00","O H",61846,20.24,-1.27,0.00
"11/10/2013 00:20:00","PJM",61847,20.73,-0.77,0.00
"11/10/2013 00:20:00","WEST",61752,20.39,-1.12,0.00
"11/10/2013 00:25:00","CAPITL",61757,22.82,1.45,0.00
"11/10/2013 00:25:00","CENTRL",61754,21.45,0.09,0.00
"11/10/2013 00:25:00","DUNWOD",61760,23.66,2.29,0.00
"11/10/2013 00:25:00","GENESE",61753,20.83,-0.53,0.00
"11/10/2013 00:25:00","H Q",61844,20.85,-0.51,0.00
"11/10/2013 00:25:00","HUD VL",61758,23.72,2.35,0.00
"11/10/2013 00:25:00","LONGIL",61762,24.19,2.82,0.00
"11/10/2013 00:25:00","MHK VL",61756,21.86,0.49,0.00
"11/10/2013 00:25:00","MILLWD",61759,23.66,2.29,0.00
"11/10/2013 00:25:00","N.Y.C.",61761,23.85,2.48,0.00
"11/10/2013 00:25:00","NORTH",61755,20.75,-0.62,0.00
"11/10/2013 00:25:00","NPX",61845,23.44,2.07,0.00
"11/10/2013 00:25:00","O H",61846,20.23,-1.13,0.00
"11/10/2013 00:25:00","PJM",61847,20.73,-0.64,0.00
"11/10/2013 00:25:00","WEST",61752,20.39,-0.98,0.00
"11/10/2013 00:30:00","CAPITL",61757,17.10,1.07,0.00
"11/10/2013 00:30:00","CENTRL",61754,16.09,0.06,0.00
"11/10/2013 00:30:00","DUNWOD",61760,17.74,1.72,0.00
"11/10/2013 00:30:00","GENESE",61753,15.63,-0.40,0.00
"11/10/2013 00:30:00","H Q",61844,15.64,-0.38,0.00
"11/10/2013 00:30:00","HUD VL",61758,17.79,1.76,0.00
"11/10/2013 00:30:00","LONGIL",61762,18.12,2.10,0.00
"11/10/2013 00:30:00","MHK VL",61756,16.38,0.35,0.00
"11/10/2013 00:30:00","MILLWD",61759,17.72,1.70,0.00
"11/10/2013 00:30:00","N.Y.C.",61761,17.90,1.87,0.00
"11/10/2013 00:30:00","NORTH",61755,15.58,-0.45,0.00
"11/10/2013 00:30:00","NPX",61845,17.56,1.54,0.00
"11/10/2013 00:30:00","O H",61846,15.18,-0.85,0.00
"11/10/2013 00:30:00","PJM",61847,15.53,-0.50,0.00
"11/10/2013 00:30:00","WEST",61752,15.29,-0.74,0.00
"11/10/2013 00:35:00","CAPITL",61757,16.92,1.02,0.00
"11/10/2013 00:35:00","CENTRL",61754,16.03,0.13,0.00
"11/10/2013 00:35:00","DUNWOD",61760,17.58,1.67,0.00
"11/10/2013 00:35:00","GENESE",61753,15.57,-0.33,0.00
"11/10/2013 00:35:00","H Q",61844,15.52,-0.38,0.00
"11/10/2013 00:35:00","HUD VL",61758,17.62,1.72,0.00
"11/10/2013 00:35:00","LONGIL",61762,17.96,2.05,0.00
"11/10/2013 00:35:00","MHK VL",61756,16.27,0.37,0.00
"11/10/2013 00:35:00","MILLWD",61759,17.56,1.65,0.00
"11/10/2013 00:35:00","N.Y.C.",61761,17.72,1.81,0.00
"11/10/2013 00:35:00","NORTH",61755,15.46,-0.45,0.00
"11/10/2013 00:35:00","NPX",61845,17.32,1.42,0.00
"11/10/2013 00:35:00","O H",61846,15.19,-0.72,0.00
"11/10/2013 00:35:00","PJM",61847,15.57,-0.33,0.00
"11/10/2013 00:35:00","WEST",61752,15.30,-0.60,0.00
"11/10/2013 00:40:00","CAPITL",61757,15.93,0.96,0.00
"11/10/2013 00:40:00","CENTRL",61754,15.06,0.09,0.00
"11/10/2013 00:40:00","DUNWOD",61760,16.54,1.57,0.00
"11/10/2013 00:40:00","GENESE",61753,14.64,-0.33,0.00
"11/10/2013 00:40:00","H Q",61844,14.62,-0.34,0.00
"11/10/2013 00:40:00","HUD VL",61758,16.58,1.62,0.00
"11/10/2013 00:40:00","LONGIL",61762,16.88,1.92,0.00
"11/10/2013 00:40:00","MHK VL",61756,15.30,0.33,0.00
"11/10/2013 00:40:00","MILLWD",61759,16.52,1.56,0.00
"11/10/2013 00:40:00","N.Y.C.",61761,16.67,1.71,0.00
"11/10/2013 00:40:00","NORTH",61755,14.58,-0.39,0.00
"11/10/2013 00:40:00","NPX",61845,16.31,1.35,0.00
"11/10/2013 00:40:00","O H",61846,14.26,-0.70,0.00
"11/10/2013 00:40:00","PJM",61847,14.59,-0.37,0.00
"11/10/2013 00:40:00","WEST",61752,14.38,-0.58,0.00
"11/10/2013 00:45:00","CAPITL",61757,2.25,0.14,0.00
"11/10/2013 00:45:00","CENTRL",61754,2.13,0.01,0.00
"11/10/2013 00:45:00","DUNWOD",61760,2.34,0.22,0.00
"11/10/2013 00:45:00","GENESE",61753,2.07,-0.04,0.00
"11/10/2013 00:45:00","H Q",61844,2.07,-0.05,0.00
"11/10/2013 00:45:00","HUD VL",61758,2.34,0.23,0.00
"11/10/2013 00:45:00","LONGIL",61762,2.39,0.27,0.00
"11/10/2013 00:45:00","MHK VL",61756,2.17,0.05,0.00
"11/10/2013 00:45:00","MILLWD",61759,2.33,0.22,0.00
"11/10/2013 00:45:00","N.Y.C.",61761,2.36,0.24,0.00
"11/10/2013 00:45:00","NORTH",61755,2.06,-0.06,0.00
"11/10/2013 00:45:00","NPX",61845,2.31,0.19,0.00
"11/10/2013 00:45:00","O H",61846,2.02,-0.10,0.00
"11/10/2013 00:45:00","PJM",61847,2.07,-0.05,0.00
"11/10/2013 00:45:00","WEST",61752,2.04,-0.08,0.00
"11/10/2013 00:50:00","CAPITL",61757,2.26,0.14,0.00
"11/10/2013 00:50:00","CENTRL",61754,2.13,0.01,0.00
"11/10/2013 00:50:00","DUNWOD",61760,2.34,0.22,0.00
"11/10/2013 00:50:00","GENESE",61753,2.07,-0.04,0.00
"11/10/2013 00:50:00","H Q",61844,2.07,-0.05,0.00
