,1,2,3,4,5,6,7,8,9,10,11,12,total
0,26.84,8.93,13.56,8.34,8.81,10.39,11.82,7.5,7.09,9.11,6.75,11.37,10.88
1,107.98,42.69,30.74,183.27,999.68,1883.6,141.2,37.22,56.69,76.58,26.16,37.31,301.93
2,46.96,26.89,33.66,33.1,68.34,41.63,59.4,35.5,36.21,50.44,23.27,33.99,40.78
3,49.54,13.58,30.58,14.93,15.41,20.12,27.84,11.66,9.26,12.47,9.18,21.87,19.7
