"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/07/2016 00:05:00","CAPITL",61757,37.78,-2.00,-64.80
"02/07/2016 00:05:00","CENTRL",61754,-22.16,-0.35,-3.21
"02/07/2016 00:05:00","DUNWOD",61760,23.48,-2.70,-51.21
"02/07/2016 00:05:00","GENESE",61753,-21.41,0.80,-2.81
"02/07/2016 00:05:00","H Q",61844,-24.32,0.70,0.00
"02/07/2016 00:05:00","HUD VL",61758,23.16,-2.65,-50.84
"02/07/2016 00:05:00","LONGIL",61762,22.66,-3.55,-51.23
"02/07/2016 00:05:00","MHK VL",61756,-16.99,-1.10,-9.13
"02/07/2016 00:05:00","MILLWD",61759,23.63,-2.75,-51.40
"02/07/2016 00:05:00","N.Y.C.",61761,23.38,-2.83,-51.23
"02/07/2016 00:05:00","NORTH",61755,-24.14,0.88,0.00
"02/07/2016 00:05:00","NPX",61845,31.63,-2.30,-58.95
"02/07/2016 00:05:00","O H",61846,-20.32,1.45,-3.25
"02/07/2016 00:05:00","PJM",61847,5.58,-1.35,-31.95
"02/07/2016 00:05:00","WEST",61752,-20.63,1.25,-3.14
"02/07/2016 00:10:00","CAPITL",61757,25.14,0.45,-19.17
"02/07/2016 00:10:00","CENTRL",61754,6.54,0.07,-0.95
"02/07/2016 00:10:00","DUNWOD",61760,21.26,0.59,-15.15
"02/07/2016 00:10:00","GENESE",61753,6.18,-0.18,-0.83
"02/07/2016 00:10:00","H Q",61844,5.37,-0.15,0.00
"02/07/2016 00:10:00","HUD VL",61758,21.15,0.59,-15.04
"02/07/2016 00:10:00","LONGIL",61762,21.43,0.75,-15.15
"02/07/2016 00:10:00","MHK VL",61756,8.46,0.24,-2.70
"02/07/2016 00:10:00","MILLWD",61759,21.33,0.60,-15.20
"02/07/2016 00:10:00","N.Y.C.",61761,21.30,0.62,-15.15
"02/07/2016 00:10:00","NORTH",61755,5.33,-0.20,0.00
"02/07/2016 00:10:00","NPX",61845,23.47,0.51,-17.44
"02/07/2016 00:10:00","O H",61846,6.17,-0.32,-0.96
"02/07/2016 00:10:00","PJM",61847,15.26,0.29,-9.45
"02/07/2016 00:10:00","WEST",61752,6.17,-0.28,-0.93
"02/07/2016 00:15:00","CAPITL",61757,9.36,0.70,0.00
"02/07/2016 00:15:00","CENTRL",61754,8.78,0.12,0.00
"02/07/2016 00:15:00","DUNWOD",61760,9.59,0.94,0.00
"02/07/2016 00:15:00","GENESE",61753,8.40,-0.26,0.00
"02/07/2016 00:15:00","H Q",61844,8.42,-0.24,0.00
"02/07/2016 00:15:00","HUD VL",61758,9.58,0.92,0.00
"02/07/2016 00:15:00","LONGIL",61762,9.85,1.20,0.00
"02/07/2016 00:15:00","MHK VL",61756,9.04,0.38,0.00
"02/07/2016 00:15:00","MILLWD",61759,9.60,0.94,0.00
"02/07/2016 00:15:00","N.Y.C.",61761,9.65,0.99,0.00
"02/07/2016 00:15:00","NORTH",61755,8.34,-0.32,0.00
"02/07/2016 00:15:00","NPX",61845,9.45,0.80,0.00
"02/07/2016 00:15:00","O H",61846,8.17,-0.48,0.00
"02/07/2016 00:15:00","PJM",61847,9.12,0.46,0.00
"02/07/2016 00:15:00","WEST",61752,8.23,-0.43,0.00
"02/07/2016 00:20:00","CAPITL",61757,13.69,0.68,-4.52
"02/07/2016 00:20:00","CENTRL",61754,8.82,0.10,-0.22
"02/07/2016 00:20:00","DUNWOD",61760,12.97,0.91,-3.57
"02/07/2016 00:20:00","GENESE",61753,8.39,-0.30,-0.20
"02/07/2016 00:20:00","H Q",61844,8.26,-0.23,0.00
"02/07/2016 00:20:00","HUD VL",61758,12.93,0.89,-3.55
"02/07/2016 00:20:00","LONGIL",61762,13.25,1.18,-3.58
"02/07/2016 00:20:00","MHK VL",61756,9.49,0.36,-0.64
"02/07/2016 00:20:00","MILLWD",61759,13.00,0.92,-3.59
"02/07/2016 00:20:00","N.Y.C.",61761,13.03,0.97,-3.58
"02/07/2016 00:20:00","NORTH",61755,8.19,-0.30,0.00
"02/07/2016 00:20:00","NPX",61845,13.39,0.78,-4.11
"02/07/2016 00:20:00","O H",61846,8.19,-0.53,-0.23
"02/07/2016 00:20:00","PJM",61847,11.15,0.43,-2.23
"02/07/2016 00:20:00","WEST",61752,8.23,-0.48,-0.22
"02/07/2016 00:25:00","CAPITL",61757,19.17,0.47,-12.84
"02/07/2016 00:25:00","CENTRL",61754,6.56,0.06,-0.64
"02/07/2016 00:25:00","DUNWOD",61760,16.63,0.63,-10.14
"02/07/2016 00:25:00","GENESE",61753,6.22,-0.20,-0.56
"02/07/2016 00:25:00","H Q",61844,5.70,-0.16,0.00
"02/07/2016 00:25:00","HUD VL",61758,16.55,0.62,-10.07
"02/07/2016 00:25:00","LONGIL",61762,16.83,0.81,-10.15
"02/07/2016 00:25:00","MHK VL",61756,7.94,0.25,-1.83
"02/07/2016 00:25:00","MILLWD",61759,16.68,0.63,-10.18
"02/07/2016 00:25:00","N.Y.C.",61761,16.67,0.66,-10.15
"02/07/2016 00:25:00","NORTH",61755,5.66,-0.21,0.00
"02/07/2016 00:25:00","NPX",61845,18.08,0.54,-11.68
"02/07/2016 00:25:00","O H",61846,6.15,-0.36,-0.64
"02/07/2016 00:25:00","PJM",61847,12.49,0.30,-6.33
"02/07/2016 00:25:00","WEST",61752,6.17,-0.32,-0.62
"02/07/2016 00:30:00","CAPITL",61757,9.32,0.69,0.00
"02/07/2016 00:30:00","CENTRL",61754,8.79,0.16,0.00
"02/07/2016 00:30:00","DUNWOD",61760,9.54,0.91,0.00
"02/07/2016 00:30:00","GENESE",61753,8.38,-0.25,0.00
"02/07/2016 00:30:00","H Q",61844,8.38,-0.25,0.00
"02/07/2016 00:30:00","HUD VL",61758,9.54,0.91,0.00
"02/07/2016 00:30:00","LONGIL",61762,9.82,1.19,0.00
"02/07/2016 00:30:00","MHK VL",61756,9.01,0.38,0.00
"02/07/2016 00:30:00","MILLWD",61759,9.56,0.93,0.00
"02/07/2016 00:30:00","N.Y.C.",61761,9.60,0.97,0.00
"02/07/2016 00:30:00","NORTH",61755,8.32,-0.31,0.00
"02/07/2016 00:30:00","NPX",61845,9.41,0.79,0.00
"02/07/2016 00:30:00","O H",61846,8.19,-0.44,0.00
"02/07/2016 00:30:00","PJM",61847,9.11,0.48,0.00
"02/07/2016 00:30:00","WEST",61752,8.23,-0.40,0.00
"02/07/2016 00:35:00","CAPITL",61757,9.56,0.71,-0.15
"02/07/2016 00:35:00","CENTRL",61754,8.83,0.12,-0.01
"02/07/2016 00:35:00","DUNWOD",61760,9.75,0.93,-0.12
"02/07/2016 00:35:00","GENESE",61753,8.41,-0.30,-0.01
"02/07/2016 00:35:00","H Q",61844,8.45,-0.24,0.00
"02/07/2016 00:35:00","HUD VL",61758,9.73,0.91,-0.12
"02/07/2016 00:35:00","LONGIL",61762,10.02,1.20,-0.12
"02/07/2016 00:35:00","MHK VL",61756,9.09,0.37,-0.02
"02/07/2016 00:35:00","MILLWD",61759,9.76,0.94,-0.12
"02/07/2016 00:35:00","N.Y.C.",61761,9.80,0.98,-0.12
"02/07/2016 00:35:00","NORTH",61755,8.38,-0.31,0.00
"02/07/2016 00:35:00","NPX",61845,9.65,0.82,-0.14
"02/07/2016 00:35:00","O H",61846,8.19,-0.51,-0.01
"02/07/2016 00:35:00","PJM",61847,9.23,0.46,-0.08
"02/07/2016 00:35:00","WEST",61752,8.23,-0.47,-0.01
"02/07/2016 00:40:00","CAPITL",61757,19.12,0.66,-10.27
"02/07/2016 00:40:00","CENTRL",61754,8.80,0.11,-0.51
"02/07/2016 00:40:00","DUNWOD",61760,17.16,0.86,-8.11
"02/07/2016 00:40:00","GENESE",61753,8.34,-0.29,-0.45
"02/07/2016 00:40:00","H Q",61844,7.96,-0.22,0.00
"02/07/2016 00:40:00","HUD VL",61758,17.09,0.85,-8.06
"02/07/2016 00:40:00","LONGIL",61762,17.42,1.11,-8.12
"02/07/2016 00:40:00","MHK VL",61756,9.99,0.34,-1.46
"02/07/2016 00:40:00","MILLWD",61759,17.21,0.88,-8.15
"02/07/2016 00:40:00","N.Y.C.",61761,17.21,0.91,-8.12
"02/07/2016 00:40:00","NORTH",61755,7.90,-0.29,0.00
"02/07/2016 00:40:00","NPX",61845,18.29,0.76,-9.34
"02/07/2016 00:40:00","O H",61846,8.20,-0.50,-0.52
"02/07/2016 00:40:00","PJM",61847,13.67,0.42,-5.06
"02/07/2016 00:40:00","WEST",61752,8.23,-0.45,-0.50
"02/07/2016 00:45:00","CAPITL",61757,23.08,0.46,-16.98
"02/07/2016 00:45:00","CENTRL",61754,6.56,0.08,-0.84
"02/07/2016 00:45:00","DUNWOD",61760,19.64,0.59,-13.42
"02/07/2016 00:45:00","GENESE",61753,6.19,-0.19,-0.74
"02/07/2016 00:45:00","H Q",61844,5.48,-0.16,0.00
"02/07/2016 00:45:00","HUD VL",61758,19.54,0.58,-13.32
"02/07/2016 00:45:00","LONGIL",61762,19.81,0.75,-13.42
"02/07/2016 00:45:00","MHK VL",61756,8.30,0.24,-2.42
"02/07/2016 00:45:00","MILLWD",61759,19.70,0.60,-13.47
"02/07/2016 00:45:00","N.Y.C.",61761,19.68,0.62,-13.42
"02/07/2016 00:45:00","NORTH",61755,5.43,-0.20,0.00
"02/07/2016 00:45:00","NPX",61845,21.61,0.53,-15.44
"02/07/2016 00:45:00","O H",61846,6.16,-0.33,-0.85
"02/07/2016 00:45:00","PJM",61847,14.30,0.29,-8.37
"02/07/2016 00:45:00","WEST",61752,6.16,-0.29,-0.82
"02/07/2016 00:50:00","CAPITL",61757,26.34,0.26,-22.92
"02/07/2016 00:50:00","CENTRL",61754,4.34,0.04,-1.14
"02/07/2016 00:50:00","DUNWOD",61760,21.60,0.33,-18.11
"02/07/2016 00:50:00","GENESE",61753,4.05,-0.10,-0.99
"02/07/2016 00:50:00","H Q",61844,3.07,-0.09,0.00
"02/07/2016 00:50:00","HUD VL",61758,21.46,0.33,-17.98
"02/07/2016 00:50:00","LONGIL",61762,21.69,0.42,-18.12
"02/07/2016 00:50:00","MHK VL",61756,6.56,0.13,-3.27
"02/07/2016 00:50:00","MILLWD",61759,21.67,0.33,-18.18
"02/07/2016 00:50:00","N.Y.C.",61761,21.62,0.35,-18.12
"02/07/2016 00:50:00","NORTH",61755,3.05,-0.11,0.00
"02/07/2016 00:50:00","NPX",61845,24.30,0.30,-20.85
"02/07/2016 00:50:00","O H",61846,4.13,-0.18,-1.15
"02/07/2016 00:50:00","PJM",61847,14.62,0.16,-11.30
"02/07/2016 00:50:00","WEST",61752,4.11,-0.16,-1.11
"02/07/2016 00:55:00","CAPITL",61757,29.48,0.06,-28.73
"02/07/2016 00:55:00","CENTRL",61754,2.13,0.01,-1.42
"02/07/2016 00:55:00","DUNWOD",61760,23.47,0.07,-22.70
"02/07/2016 00:55:00","GENESE",61753,1.92,-0.02,-1.25
"02/07/2016 00:55:00","H Q",61844,0.67,-0.02,0.00
"02/07/2016 00:55:00","HUD VL",61758,23.30,0.07,-22.54
"02/07/2016 00:55:00","LONGIL",61762,23.50,0.09,-22.71
"02/07/2016 00:55:00","MHK VL",61756,4.82,0.03,-4.10
"02/07/2016 00:55:00","MILLWD",61759,23.56,0.07,-22.79
"02/07/2016 00:55:00","N.Y.C.",61761,23.48,0.08,-22.71
"02/07/2016 00:55:00","NORTH",61755,0.67,-0.02,0.00
"02/07/2016 00:55:00","NPX",61845,26.89,0.07,-26.14
"02/07/2016 00:55:00","O H",61846,2.10,-0.04,-1.44
"02/07/2016 00:55:00","PJM",61847,14.90,0.04,-14.17
"02/07/2016 00:55:00","WEST",61752,2.05,-0.03,-1.39
"02/07/2016 01:00:00","CAPITL",61757,27.02,0.07,-26.12
"02/07/2016 01:00:00","CENTRL",61754,2.13,0.01,-1.29
"02/07/2016 01:00:00","DUNWOD",61760,21.55,0.09,-20.64
"02/07/2016 01:00:00","GENESE",61753,1.93,-0.03,-1.13
"02/07/2016 01:00:00","H Q",61844,0.80,-0.02,0.00
"02/07/2016 01:00:00","HUD VL",61758,21.41,0.08,-20.50
"02/07/2016 01:00:00","LONGIL",61762,21.59,0.11,-20.65
"02/07/2016 01:00:00","MHK VL",61756,4.59,0.03,-3.73
"02/07/2016 01:00:00","MILLWD",61759,21.64,0.09,-20.72
"02/07/2016 01:00:00","N.Y.C.",61761,21.57,0.09,-20.65
"02/07/2016 01:00:00","NORTH",61755,0.80,-0.03,0.00
"02/07/2016 01:00:00","NPX",61845,24.67,0.08,-23.76
"02/07/2016 01:00:00","O H",61846,2.09,-0.05,-1.31
"02/07/2016 01:00:00","PJM",61847,13.75,0.04,-12.88
"02/07/2016 01:00:00","WEST",61752,2.05,-0.04,-1.26
"02/07/2016 01:05:00","CAPITL",61757,24.90,0.45,-18.88
"02/07/2016 01:05:00","CENTRL",61754,6.55,0.05,-0.94
"02/07/2016 01:05:00","DUNWOD",61760,21.05,0.57,-14.92
"02/07/2016 01:05:00","GENESE",61753,6.18,-0.21,-0.82
"02/07/2016 01:05:00","H Q",61844,5.42,-0.14,0.00
"02/07/2016 01:05:00","HUD VL",61758,20.94,0.56,-14.81
"02/07/2016 01:05:00","LONGIL",61762,21.20,0.71,-14.93
"02/07/2016 01:05:00","MHK VL",61756,8.49,0.23,-2.69
"02/07/2016 01:05:00","MILLWD",61759,21.12,0.58,-14.98
"02/07/2016 01:05:00","N.Y.C.",61761,21.09,0.60,-14.92
"02/07/2016 01:05:00","NORTH",61755,5.37,-0.20,0.00
"02/07/2016 01:05:00","NPX",61845,23.26,0.52,-17.17
"02/07/2016 01:05:00","O H",61846,6.17,-0.35,-0.95
"02/07/2016 01:05:00","PJM",61847,15.15,0.27,-9.31
"02/07/2016 01:05:00","WEST",61752,6.16,-0.32,-0.91
"02/07/2016 01:10:00","CAPITL",61757,25.92,0.44,-19.92
"02/07/2016 01:10:00","CENTRL",61754,6.60,0.05,-0.99
"02/07/2016 01:10:00","DUNWOD",61760,21.85,0.55,-15.74
"02/07/2016 01:10:00","GENESE",61753,6.19,-0.23,-0.86
"02/07/2016 01:10:00","H Q",61844,5.42,-0.14,0.00
"02/07/2016 01:10:00","HUD VL",61758,21.73,0.55,-15.63
"02/07/2016 01:10:00","LONGIL",61762,22.00,0.69,-15.75
"02/07/2016 01:10:00","MHK VL",61756,8.63,0.23,-2.84
"02/07/2016 01:10:00","MILLWD",61759,21.92,0.56,-15.80
"02/07/2016 01:10:00","N.Y.C.",61761,21.89,0.58,-15.75
"02/07/2016 01:10:00","NORTH",61755,5.37,-0.18,0.00
"02/07/2016 01:10:00","NPX",61845,24.18,0.50,-18.12
"02/07/2016 01:10:00","O H",61846,6.18,-0.38,-1.00
"02/07/2016 01:10:00","PJM",61847,15.64,0.26,-9.82
"02/07/2016 01:10:00","WEST",61752,6.17,-0.36,-0.96
"02/07/2016 01:15:00","CAPITL",61757,26.94,0.44,-21.02
"02/07/2016 01:15:00","CENTRL",61754,6.58,0.06,-1.04
"02/07/2016 01:15:00","DUNWOD",61760,22.63,0.54,-16.61
"02/07/2016 01:15:00","GENESE",61753,6.17,-0.21,-0.91
"02/07/2016 01:15:00","H Q",61844,5.34,-0.14,0.00
"02/07/2016 01:15:00","HUD VL",61758,22.51,0.54,-16.49
"02/07/2016 01:15:00","LONGIL",61762,22.78,0.68,-16.62
"02/07/2016 01:15:00","MHK VL",61756,8.75,0.24,-3.03
"02/07/2016 01:15:00","MILLWD",61759,22.70,0.55,-16.68
"02/07/2016 01:15:00","N.Y.C.",61761,22.67,0.57,-16.62
"02/07/2016 01:15:00","NORTH",61755,5.28,-0.19,0.00
"02/07/2016 01:15:00","NPX",61845,25.10,0.50,-19.12
"02/07/2016 01:15:00","O H",61846,6.19,-0.34,-1.06
"02/07/2016 01:15:00","PJM",61847,16.11,0.26,-10.37
"02/07/2016 01:15:00","WEST",61752,6.17,-0.33,-1.02
"02/07/2016 01:20:00","CAPITL",61757,26.60,0.26,-23.18
"02/07/2016 01:20:00","CENTRL",61754,4.34,0.03,-1.15
