"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"03/22/2012 00:05:00","CAPITL",61757,12.78,0.62,0.00
"03/22/2012 00:05:00","CENTRL",61754,12.32,0.16,0.00
"03/22/2012 00:05:00","DUNWOD",61760,13.39,1.23,0.00
"03/22/2012 00:05:00","GENESE",61753,12.23,0.07,0.00
"03/22/2012 00:05:00","H Q",61844,11.87,-0.29,0.00
"03/22/2012 00:05:00","HUD VL",61758,13.37,1.22,0.00
"03/22/2012 00:05:00","LONGIL",61762,13.42,1.26,0.00
"03/22/2012 00:05:00","MHK VL",61756,12.32,0.16,0.00
"03/22/2012 00:05:00","MILLWD",61759,13.37,1.22,0.00
"03/22/2012 00:05:00","N.Y.C.",61761,13.50,1.34,0.00
"03/22/2012 00:05:00","NORTH",61755,11.65,-0.51,0.00
"03/22/2012 00:05:00","NPX",61845,12.95,0.79,0.00
"03/22/2012 00:05:00","O H",61846,12.02,-0.13,0.00
"03/22/2012 00:05:00","PJM",61847,12.89,0.73,0.00
"03/22/2012 00:05:00","WEST",61752,12.21,0.05,0.00
"03/22/2012 00:10:00","CAPITL",61757,12.59,0.59,0.00
"03/22/2012 00:10:00","CENTRL",61754,12.20,0.20,0.00
"03/22/2012 00:10:00","DUNWOD",61760,13.14,1.14,0.00
"03/22/2012 00:10:00","GENESE",61753,12.17,0.17,0.00
"03/22/2012 00:10:00","H Q",61844,11.72,-0.28,0.00
"03/22/2012 00:10:00","HUD VL",61758,13.13,1.13,0.00
"03/22/2012 00:10:00","LONGIL",61762,13.19,1.19,0.00
"03/22/2012 00:10:00","MHK VL",61756,12.14,0.14,0.00
"03/22/2012 00:10:00","MILLWD",61759,13.13,1.13,0.00
"03/22/2012 00:10:00","N.Y.C.",61761,13.25,1.25,0.00
"03/22/2012 00:10:00","NORTH",61755,11.51,-0.49,0.00
"03/22/2012 00:10:00","NPX",61845,12.74,0.74,0.00
"03/22/2012 00:10:00","O H",61846,12.01,0.01,0.00
"03/22/2012 00:10:00","PJM",61847,12.71,0.71,0.00
"03/22/2012 00:10:00","WEST",61752,12.19,0.19,0.00
