,date,mae,mape,mre,mse
0,2017-01-01,439.53251139322913,8.673116543449625,8.722368618859942,519.7586483494069
1,2017-01-02,190.16265869140625,3.6142065374971204,3.5210742809525857,270.92046443222625
2,2017-01-03,154.71162109374998,2.630066485291974,2.6367310245325104,177.79322969737532
3,2017-01-04,289.9910034179687,4.733207864160157,5.03194886487081,350.4814712821267
4,2017-01-05,274.72097167968747,4.407502869563592,4.532495473427379,305.6618830161584
5,2017-01-06,186.29376220703128,2.9416652123022606,3.0558412955423573,205.90447339190925
6,2017-01-07,199.7600056966146,3.385298052262614,3.3665407168243124,252.87089280493245
7,2017-01-08,94.2220825195313,1.5028523695511218,1.5849873489146078,124.73634283687056
8,2017-01-09,351.68302408854163,5.1857498146896095,5.383336019428218,420.09235117608483
9,2017-01-10,108.13710937499998,1.786119503107427,1.7041912006603246,145.0800731454374
10,2017-01-11,101.34529215494793,1.6635207518418684,1.7213016456722023,124.55462149185799
11,2017-01-12,101.36893310546868,1.8320134841417341,1.786172446462094,114.74103900561558
12,2017-01-13,241.4299886067708,4.425963046822729,4.287623206173793,266.3366943967353
13,2017-01-14,397.84534912109376,7.217537758914822,7.2624530642825205,424.12690934392606
14,2017-01-15,76.86671956380215,1.4053297375134994,1.440051698765912,91.63203227731991
15,2017-01-16,230.2559895833333,3.920993091240391,4.054703877108834,261.1956057433954
16,2017-01-17,84.97787679036453,1.4260823235544118,1.4383019689899992,99.49114219327285
17,2017-01-18,138.56667480468752,2.3633764031334548,2.361811182462616,155.73205045444934
18,2017-01-19,193.88550211588546,3.1861426764815546,3.374273987215184,225.88151288993183
19,2017-01-20,139.9726603190104,2.6621863228097697,2.433638767075021,165.00000267996572
20,2017-01-21,252.7825927734375,4.741840274443146,4.865316615057199,281.15777060297904
21,2017-01-22,50.74940999348954,1.0026135000121694,0.9940542458311256,58.79587214181078
22,2017-01-23,222.6540201822918,3.512147802977133,3.8095762991364537,261.9321449903009
23,2017-01-24,81.78501790364592,1.319471603244446,1.3709820114265954,99.04384089447471
24,2017-01-25,133.54468587239575,2.2357679511497337,2.309962134009008,159.0561332264937
25,2017-01-26,248.39728597005205,4.134064450281681,4.36637240055785,282.9601276920133
26,2017-01-27,90.9282389322916,1.6201356067191413,1.5768290076309668,100.44280583657486
27,2017-01-28,87.4145222981771,1.5718123386179002,1.6226713438772828,111.38721805699396
28,2017-01-29,39.771826171874935,0.7502501688068585,0.7606052402958506,45.634424955614115
29,2017-01-30,149.38202311197918,2.5719860928396514,2.528930418313745,155.9659203190951
30,2017-01-31,135.59305013020827,2.1863743638536564,2.224893089805674,150.33007056657064
31,2017-02-01,127.37586669921862,2.088354548145059,2.1555685146571646,151.45924313369514
32,2017-02-02,84.06081542968748,1.5359709337829148,1.4389796700818893,99.86332739690069
33,2017-02-03,106.9763305664062,1.9600705380881454,1.7843043312269178,128.35471981554082
34,2017-02-04,124.55570882161453,2.305034409871624,2.218252484005931,142.63529721950022
35,2017-02-05,126.84824218749993,2.313224505626439,2.3465483144066823,139.96187351447497
36,2017-02-06,120.0986165364584,2.0847378573774025,2.072906984113572,130.6650069761863
37,2017-02-07,289.9530192057291,4.769463573560802,4.950446580534977,312.9234951563914
38,2017-02-08,227.09780273437505,3.745225827515197,4.004931458036505,278.15679124097
39,2017-02-09,328.47859700520826,5.369346023242101,5.52804263975275,354.5600461883468
40,2017-02-10,140.43427734374998,2.350095772778363,2.2659522234809266,164.857477317727
41,2017-02-11,370.57331949869786,6.654669572804499,6.776951697460251,413.68726391344
42,2017-02-12,224.26918945312494,3.7705300558868466,4.086695949016338,294.6726464241297
43,2017-02-13,118.6119832356771,1.9107491381861974,1.9743271831340878,168.37722316712785
44,2017-02-14,135.80817464192708,2.2134174171864562,2.273036852618034,179.12904447125118
45,2017-02-15,109.19567057291661,1.8038133745277243,1.8724621078966186,141.74975334091076
46,2017-02-16,292.0116048177083,4.703004842663278,4.90007852932519,318.99814359433805
47,2017-02-17,269.1496907552083,4.316791554184981,4.539032575673468,347.893602343525
48,2017-02-18,293.79552815755204,5.465088371141573,5.671929086760833,351.4546662443382
49,2017-02-19,311.2869791666667,6.222940390813676,6.403939883834161,355.9946626629665
50,2017-02-20,288.03277994791665,5.497260439916863,5.59981945128501,324.395784972062
51,2017-02-21,211.61990152994792,3.702835715785746,3.785585387332145,250.67918079904422
52,2017-02-22,86.84951578776038,1.5676060813438608,1.5609736285846463,100.61849764601654
53,2017-02-23,155.4538411458333,2.690399217796922,2.8375882065939515,211.67514847728114
54,2017-02-24,139.31356608072912,2.4238559941654167,2.5729877872993803,178.46100444861082
55,2017-02-25,278.6544270833332,5.542736831491239,5.633156770024358,331.62253745860346
56,2017-02-26,105.51207682291665,2.209496988012439,2.1363314847154204,119.2109379533804
57,2017-02-27,103.45015055338531,1.7849665092740845,1.843468469801069,119.26928938071674
58,2017-02-28,99.12789713541659,1.892186659509658,1.7900904057645384,112.04964373951238
59,2017-03-01,49.293269856770806,0.8489629533669546,0.8859415286843259,66.36090924464786
60,2017-03-02,149.05312499999994,2.5926717945249096,2.7082185122825715,217.1624377368971
61,2017-03-03,249.65885823567703,4.298769513579462,4.345722460991895,259.69520904443243
62,2017-03-04,345.7901448567709,5.966068627675314,6.147999707053822,379.1429879522226
63,2017-03-05,145.43860270182296,2.6998466372992094,2.5922747492176086,177.63233846431478
64,2017-03-06,212.34892171223964,3.6481153985648294,3.5898806896726323,240.90942973850954
65,2017-03-07,111.90791015624995,1.9555264549585087,1.960590824760856,119.48264613656758
