"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/18/2012 00:05:00","CAPITL",61757,26.84,1.45,0.00
"02/18/2012 00:05:00","CENTRL",61754,25.47,0.08,0.00
"02/18/2012 00:05:00","DUNWOD",61760,27.56,2.16,0.00
"02/18/2012 00:05:00","GENESE",61753,25.02,-0.38,0.00
"02/18/2012 00:05:00","H Q",61844,25.07,-0.33,0.00
"02/18/2012 00:05:00","HUD VL",61758,27.58,2.18,0.00
"02/18/2012 00:05:00","LONGIL",61762,34.03,3.15,-5.49
"02/18/2012 00:05:00","MHK VL",61756,26.16,0.76,0.00
"02/18/2012 00:05:00","MILLWD",61759,27.50,2.11,0.00
"02/18/2012 00:05:00","N.Y.C.",61761,27.68,2.29,0.00
"02/18/2012 00:05:00","NORTH",61755,25.12,-0.28,0.00
"02/18/2012 00:05:00","NPX",61845,27.12,1.73,0.00
"02/18/2012 00:05:00","O H",61846,24.20,-1.19,0.00
"02/18/2012 00:05:00","PJM",61847,26.29,0.89,0.00
"02/18/2012 00:05:00","WEST",61752,24.61,-0.79,0.00
"02/18/2012 00:10:00","CAPITL",61757,26.73,1.47,0.00
"02/18/2012 00:10:00","CENTRL",61754,25.41,0.15,0.00
"02/18/2012 00:10:00","DUNWOD",61760,27.41,2.15,0.00
"02/18/2012 00:10:00","GENESE",61753,24.96,-0.30,0.00
"02/18/2012 00:10:00","H Q",61844,24.88,-0.38,0.00
"02/18/2012 00:10:00","HUD VL",61758,27.44,2.17,0.00
"02/18/2012 00:10:00","LONGIL",61762,33.88,3.11,-5.51
"02/18/2012 00:10:00","MHK VL",61756,26.02,0.76,0.00
"02/18/2012 00:10:00","MILLWD",61759,27.36,2.10,0.00
"02/18/2012 00:10:00","N.Y.C.",61761,27.54,2.27,0.00
"02/18/2012 00:10:00","NORTH",61755,24.93,-0.33,0.00
"02/18/2012 00:10:00","NPX",61845,26.98,1.72,0.00
"02/18/2012 00:10:00","O H",61846,24.23,-1.04,0.00
"02/18/2012 00:10:00","PJM",61847,26.22,0.96,0.00
"02/18/2012 00:10:00","WEST",61752,24.63,-0.63,0.00
"02/18/2012 00:15:00","CAPITL",61757,26.75,1.51,0.00
"02/18/2012 00:15:00","CENTRL",61754,25.46,0.23,0.00
"02/18/2012 00:15:00","DUNWOD",61760,27.36,2.12,0.00
"02/18/2012 00:15:00","GENESE",61753,24.96,-0.28,0.00
"02/18/2012 00:15:00","H Q",61844,24.83,-0.40,0.00
"02/18/2012 00:15:00","HUD VL",61758,27.43,2.20,0.00
"02/18/2012 00:15:00","LONGIL",61762,33.76,3.00,-5.52
"02/18/2012 00:15:00","MHK VL",61756,26.02,0.78,0.00
"02/18/2012 00:15:00","MILLWD",61759,27.33,2.09,0.00
"02/18/2012 00:15:00","N.Y.C.",61761,27.51,2.27,0.00
"02/18/2012 00:15:00","NORTH",61755,24.81,-0.43,0.00
"02/18/2012 00:15:00","NPX",61845,27.00,1.77,0.00
"02/18/2012 00:15:00","O H",61846,24.30,-0.93,0.00
"02/18/2012 00:15:00","PJM",61847,26.30,1.06,0.00
"02/18/2012 00:15:00","WEST",61752,24.68,-0.56,0.00
"02/18/2012 00:20:00","CAPITL",61757,26.89,1.57,0.00
"02/18/2012 00:20:00","CENTRL",61754,25.54,0.23,0.00
"02/18/2012 00:20:00","DUNWOD",61760,27.47,2.15,0.00
"02/18/2012 00:20:00","GENESE",61753,24.99,-0.33,0.00
"02/18/2012 00:20:00","H Q",61844,24.89,-0.43,0.00
"02/18/2012 00:20:00","HUD VL",61758,27.52,2.20,0.00
"02/18/2012 00:20:00","LONGIL",61762,33.82,2.99,-5.52
"02/18/2012 00:20:00","MHK VL",61756,26.10,0.78,0.00
