"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/01/2014 00:05:00","CAPITL",61757,42.98,1.77,0.00
"05/01/2014 00:05:00","CENTRL",61754,41.25,0.04,0.00
"05/01/2014 00:05:00","DUNWOD",61760,44.88,3.67,0.00
"05/01/2014 00:05:00","GENESE",61753,41.09,-0.12,0.00
"05/01/2014 00:05:00","H Q",61844,40.43,-0.78,0.00
"05/01/2014 00:05:00","HUD VL",61758,44.71,3.50,0.00
"05/01/2014 00:05:00","LONGIL",61762,1177.15,4.90,-1131.03
"05/01/2014 00:05:00","MHK VL",61756,41.62,0.41,0.00
"05/01/2014 00:05:00","MILLWD",61759,44.84,3.63,0.00
"05/01/2014 00:05:00","N.Y.C.",61761,45.17,3.96,0.00
"05/01/2014 00:05:00","NORTH",61755,39.65,-1.57,0.00
"05/01/2014 00:05:00","NPX",61845,43.93,2.72,0.00
"05/01/2014 00:05:00","O H",61846,38.82,-2.39,0.00
"05/01/2014 00:05:00","PJM",61847,42.49,1.28,0.00
"05/01/2014 00:05:00","WEST",61752,39.27,-1.94,0.00
"05/01/2014 00:10:00","CAPITL",61757,43.06,1.74,0.00
"05/01/2014 00:10:00","CENTRL",61754,41.57,0.25,0.00
"05/01/2014 00:10:00","DUNWOD",61760,44.92,3.59,0.00
"05/01/2014 00:10:00","GENESE",61753,41.49,0.17,0.00
"05/01/2014 00:10:00","H Q",61844,40.50,-0.83,0.00
"05/01/2014 00:10:00","HUD VL",61758,44.75,3.43,0.00
"05/01/2014 00:10:00","LONGIL",61762,350.36,4.96,-304.08
"05/01/2014 00:10:00","MHK VL",61756,41.74,0.41,0.00
"05/01/2014 00:10:00","MILLWD",61759,44.88,3.55,0.00
"05/01/2014 00:10:00","N.Y.C.",61761,45.21,3.88,0.00
"05/01/2014 00:10:00","NORTH",61755,39.71,-1.61,0.00
"05/01/2014 00:10:00","NPX",61845,44.01,2.68,0.00
"05/01/2014 00:10:00","O H",61846,39.38,-1.94,0.00
"05/01/2014 00:10:00","PJM",61847,42.77,1.45,0.00
"05/01/2014 00:10:00","WEST",61752,39.88,-1.45,0.00
"05/01/2014 00:15:00","CAPITL",61757,42.76,1.48,0.00
"05/01/2014 00:15:00","CENTRL",61754,42.11,0.83,0.00
"05/01/2014 00:15:00","DUNWOD",61760,44.58,3.30,0.00
"05/01/2014 00:15:00","GENESE",61753,42.06,0.78,0.00
"05/01/2014 00:15:00","H Q",61844,40.41,-0.87,0.00
"05/01/2014 00:15:00","HUD VL",61758,44.50,3.22,0.00
"05/01/2014 00:15:00","LONGIL",61762,45.87,4.58,0.00
"05/01/2014 00:15:00","MHK VL",61756,41.78,0.50,0.00
"05/01/2014 00:15:00","MILLWD",61759,44.54,3.26,0.00
"05/01/2014 00:15:00","N.Y.C.",61761,44.79,3.51,0.00
"05/01/2014 00:15:00","NORTH",61755,39.51,-1.77,0.00
"05/01/2014 00:15:00","NPX",61845,43.67,2.39,0.00
"05/01/2014 00:15:00","O H",61846,40.54,-0.74,0.00
"05/01/2014 00:15:00","PJM",61847,43.22,1.94,0.00
"05/01/2014 00:15:00","WEST",61752,41.07,-0.21,0.00
"05/01/2014 00:20:00","CAPITL",61757,43.30,1.58,0.00
"05/01/2014 00:20:00","CENTRL",61754,42.38,0.67,0.00
"05/01/2014 00:20:00","DUNWOD",61760,45.13,3.42,0.00
"05/01/2014 00:20:00","GENESE",61753,42.21,0.50,0.00
"05/01/2014 00:20:00","H Q",61844,40.83,-0.88,0.00
"05/01/2014 00:20:00","HUD VL",61758,45.05,3.34,0.00
"05/01/2014 00:20:00","LONGIL",61762,136.75,4.84,-90.20
"05/01/2014 00:20:00","MHK VL",61756,42.21,0.50,0.00
"05/01/2014 00:20:00","MILLWD",61759,45.09,3.38,0.00
"05/01/2014 00:20:00","N.Y.C.",61761,45.34,3.63,0.00
"05/01/2014 00:20:00","NORTH",61755,40.00,-1.71,0.00
"05/01/2014 00:20:00","NPX",61845,44.21,2.50,0.00
"05/01/2014 00:20:00","O H",61846,40.50,-1.21,0.00
"05/01/2014 00:20:00","PJM",61847,43.55,1.83,0.00
"05/01/2014 00:20:00","WEST",61752,41.04,-0.67,0.00
"05/01/2014 00:25:00","CAPITL",61757,43.47,1.63,0.00
"05/01/2014 00:25:00","CENTRL",61754,42.43,0.59,0.00
"05/01/2014 00:25:00","DUNWOD",61760,45.31,3.47,0.00
"05/01/2014 00:25:00","GENESE",61753,42.26,0.42,0.00
"05/01/2014 00:25:00","H Q",61844,40.96,-0.88,0.00
"05/01/2014 00:25:00","HUD VL",61758,45.19,3.35,0.00
"05/01/2014 00:25:00","LONGIL",61762,163.00,4.89,-116.27
"05/01/2014 00:25:00","MHK VL",61756,42.34,0.50,0.00
"05/01/2014 00:25:00","MILLWD",61759,45.27,3.43,0.00
"05/01/2014 00:25:00","N.Y.C.",61761,45.56,3.72,0.00
"05/01/2014 00:25:00","NORTH",61755,40.04,-1.80,0.00
"05/01/2014 00:25:00","NPX",61845,44.39,2.55,0.00
"05/01/2014 00:25:00","O H",61846,40.50,-1.34,0.00
"05/01/2014 00:25:00","PJM",61847,43.64,1.80,0.00
"05/01/2014 00:25:00","WEST",61752,41.04,-0.80,0.00
