,1,2,3,4,5,6,7,8,9,10,11,12,total
0,43.55,19.85,17.93,17.74,17.7,27.37,16.79,30.21,37.01,36.14,16.32,17.22,24.82
1,27.23,23.67,21.86,24.49,22.15,29.36,30.5,1303.65,48.85,37.62,27.98,39.1,136.37
2,32.06,22.68,20.37,23.11,22.33,29.84,23.46,36.17,38.02,34.4,23.78,35.2,28.45
3,70.34,25.67,22.23,23.06,25.3,40.08,24.18,45.42,53.59,50.24,22.25,19.57,35.16
