"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"03/29/2016 00:05:00","CAPITL",61757,16.50,-0.11,-18.45
"03/29/2016 00:05:00","CENTRL",61754,-0.67,-0.03,-1.20
"03/29/2016 00:05:00","DUNWOD",61760,11.50,-0.20,-13.54
"03/29/2016 00:05:00","GENESE",61753,-0.17,-0.01,-1.67
"03/29/2016 00:05:00","H Q",61844,-1.78,0.06,0.00
"03/29/2016 00:05:00","HUD VL",61758,11.28,-0.18,-13.30
"03/29/2016 00:05:00","LONGIL",61762,11.43,-0.27,-13.54
"03/29/2016 00:05:00","MHK VL",61756,0.17,-0.04,-2.04
"03/29/2016 00:05:00","MILLWD",61759,11.60,-0.20,-13.64
"03/29/2016 00:05:00","N.Y.C.",61761,11.49,-0.21,-13.54
"03/29/2016 00:05:00","NORTH",61755,-1.75,0.09,0.00
"03/29/2016 00:05:00","NPX",61845,13.84,-0.14,-15.81
"03/29/2016 00:05:00","O H",61846,2.76,0.00,-4.60
"03/29/2016 00:05:00","PJM",61847,9.94,-0.13,-11.91
"03/29/2016 00:05:00","WEST",61752,13.98,-0.03,-15.85
"03/29/2016 00:10:00","CAPITL",61757,13.53,-1.18,-34.46
"03/29/2016 00:10:00","CENTRL",61754,-16.32,-0.37,-3.80
"03/29/2016 00:10:00","DUNWOD",61760,3.46,-2.09,-25.30
"03/29/2016 00:10:00","GENESE",61753,-16.72,-0.10,-3.12
"03/29/2016 00:10:00","H Q",61844,-19.13,0.61,0.00
"03/29/2016 00:10:00","HUD VL",61758,3.13,-1.97,-24.85
"03/29/2016 00:10:00","LONGIL",61762,2.67,-2.88,-25.30
"03/29/2016 00:10:00","MHK VL",61756,-16.32,-0.39,-3.82
"03/29/2016 00:10:00","MILLWD",61759,3.65,-2.09,-25.48
"03/29/2016 00:10:00","N.Y.C.",61761,3.32,-2.23,-25.30
"03/29/2016 00:10:00","NORTH",61755,-18.78,0.97,0.00
"03/29/2016 00:10:00","NPX",61845,8.34,-1.46,-29.55
"03/29/2016 00:10:00","O H",61846,-15.60,0.00,-4.14
"03/29/2016 00:10:00","PJM",61847,-4.29,-1.32,-16.78
"03/29/2016 00:10:00","WEST",61752,-16.02,-0.34,-4.06
"03/29/2016 00:15:00","CAPITL",61757,11.25,-0.07,-12.50
"03/29/2016 00:15:00","CENTRL",61754,0.17,-0.02,-1.37
"03/29/2016 00:15:00","DUNWOD",61760,7.86,-0.12,-9.17
"03/29/2016 00:15:00","GENESE",61753,-0.05,0.00,-1.13
"03/29/2016 00:15:00","H Q",61844,-1.15,0.03,0.00
"03/29/2016 00:15:00","HUD VL",61758,7.71,-0.12,-9.01
