,1,2,3,4,5,6,7,8,9,10,11,12,total
0,129.01,81.25,22.56,21.73,19.19,31.65,20.03,29.86,45.52,42.92,27.5,15.96,40.6
1,102.63,95.85,26.14,28.48,23.63,33.56,35.47,38.468,56.02,46.21,44.21,32.82,46.95
2,97.51,85.77,25.58,27.66,24.22,34.1,28.55,36.58,48.39,42.14,39.23,31.33,43.42
3,168.86,108.35,27.88,29.24,26.68,44.03,26.95,42.74,64.52,55.35,36.33,20.26,54.27
