"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/26/2015 00:05:00","CAPITL",61757,37.47,1.72,0.00
"06/26/2015 00:05:00","CENTRL",61754,36.25,0.50,0.00
"06/26/2015 00:05:00","DUNWOD",61760,39.36,3.61,0.00
"06/26/2015 00:05:00","GENESE",61753,35.79,0.04,0.00
"06/26/2015 00:05:00","H Q",61844,34.93,-0.82,0.00
"06/26/2015 00:05:00","HUD VL",61758,39.19,3.43,0.00
"06/26/2015 00:05:00","LONGIL",61762,40.18,4.43,0.00
"06/26/2015 00:05:00","MHK VL",61756,36.47,0.71,0.00
"06/26/2015 00:05:00","MILLWD",61759,39.36,3.61,0.00
"06/26/2015 00:05:00","N.Y.C.",61761,39.65,3.90,0.00
"06/26/2015 00:05:00","NORTH",61755,34.86,-0.89,0.00
"06/26/2015 00:05:00","NPX",61845,38.18,2.43,0.00
"06/26/2015 00:05:00","O H",61846,35.29,-0.47,0.00
"06/26/2015 00:05:00","PJM",61847,37.72,1.97,0.00
"06/26/2015 00:05:00","WEST",61752,35.79,0.04,0.00
"06/26/2015 00:10:00","CAPITL",61757,32.56,1.49,0.00
"06/26/2015 00:10:00","CENTRL",61754,31.54,0.47,0.00
"06/26/2015 00:10:00","DUNWOD",61760,34.27,3.20,0.00
"06/26/2015 00:10:00","GENESE",61753,31.01,-0.06,0.00
"06/26/2015 00:10:00","H Q",61844,30.33,-0.75,0.00
"06/26/2015 00:10:00","HUD VL",61758,34.12,3.05,0.00
"06/26/2015 00:10:00","LONGIL",61762,40.37,3.98,-5.32
"06/26/2015 00:10:00","MHK VL",61756,31.69,0.62,0.00
"06/26/2015 00:10:00","MILLWD",61759,34.24,3.17,0.00
"06/26/2015 00:10:00","N.Y.C.",61761,34.55,3.48,0.00
"06/26/2015 00:10:00","NORTH",61755,30.30,-0.78,0.00
"06/26/2015 00:10:00","NPX",61845,33.21,2.14,0.00
"06/26/2015 00:10:00","O H",61846,30.64,-0.44,0.00
"06/26/2015 00:10:00","PJM",61847,32.87,1.80,0.00
"06/26/2015 00:10:00","WEST",61752,31.07,0.00,0.00
"06/26/2015 00:15:00","CAPITL",61757,32.50,1.37,0.00
"06/26/2015 00:15:00","CENTRL",61754,31.72,0.59,0.00
"06/26/2015 00:15:00","DUNWOD",61760,34.21,3.08,0.00
"06/26/2015 00:15:00","GENESE",61753,31.35,0.22,0.00
"06/26/2015 00:15:00","H Q",61844,30.38,-0.75,0.00
"06/26/2015 00:15:00","HUD VL",61758,34.09,2.96,0.00
"06/26/2015 00:15:00","LONGIL",61762,40.37,3.83,-5.41
"06/26/2015 00:15:00","MHK VL",61756,31.78,0.65,0.00
"06/26/2015 00:15:00","MILLWD",61759,34.21,3.08,0.00
"06/26/2015 00:15:00","N.Y.C.",61761,34.49,3.36,0.00
"06/26/2015 00:15:00","NORTH",61755,30.44,-0.68,0.00
"06/26/2015 00:15:00","NPX",61845,33.12,1.99,0.00
"06/26/2015 00:15:00","O H",61846,31.13,0.00,0.00
"06/26/2015 00:15:00","PJM",61847,33.06,1.93,0.00
"06/26/2015 00:15:00","WEST",61752,31.56,0.44,0.00
"06/26/2015 00:20:00","CAPITL",61757,33.07,1.39,0.00
"06/26/2015 00:20:00","CENTRL",61754,32.40,0.73,0.00
"06/26/2015 00:20:00","DUNWOD",61760,34.78,3.11,0.00
"06/26/2015 00:20:00","GENESE",61753,32.12,0.44,0.00
"06/26/2015 00:20:00","H Q",61844,30.88,-0.79,0.00
"06/26/2015 00:20:00","HUD VL",61758,34.65,2.98,0.00
"06/26/2015 00:20:00","LONGIL",61762,40.38,3.86,-4.85
"06/26/2015 00:20:00","MHK VL",61756,32.34,0.67,0.00
"06/26/2015 00:20:00","MILLWD",61759,34.75,3.07,0.00
"06/26/2015 00:20:00","N.Y.C.",61761,35.03,3.36,0.00
"06/26/2015 00:20:00","NORTH",61755,30.88,-0.79,0.00
"06/26/2015 00:20:00","NPX",61845,33.67,2.00,0.00
"06/26/2015 00:20:00","O H",61846,32.02,0.35,0.00
"06/26/2015 00:20:00","PJM",61847,33.77,2.09,0.00
"06/26/2015 00:20:00","WEST",61752,32.47,0.79,0.00
"06/26/2015 00:25:00","CAPITL",61757,34.71,1.53,0.00
"06/26/2015 00:25:00","CENTRL",61754,33.89,0.70,0.00
"06/26/2015 00:25:00","DUNWOD",61760,36.51,3.32,0.00
"06/26/2015 00:25:00","GENESE",61753,33.45,0.26,0.00
"06/26/2015 00:25:00","H Q",61844,32.36,-0.83,0.00
"06/26/2015 00:25:00","HUD VL",61758,36.37,3.19,0.00
"06/26/2015 00:25:00","LONGIL",61762,42.90,4.11,-5.60
"06/26/2015 00:25:00","MHK VL",61756,33.92,0.73,0.00
"06/26/2015 00:25:00","MILLWD",61759,36.51,3.32,0.00
