,1,2,3,4,5,6,7,8,9,10,11,12,total
0,195.5,161.81,125.14,121.62,212.04,333.75,407.69,333.67,401.21,189.24,140.78,183.3,233.81
1,3.3,2.73,2.24,2.3,3.75,5.1,5.0,4.67,6.21,3.33,2.62,3.25,3.71
2,3.36,2.8,2.27,2.39,3.89,5.3,5.18,4.83,6.45,3.48,2.67,3.35,3.83
3,226.17,193.29,146.86,146.81,248.84,396.16,482.98,401.92,480.11,224.12,168.18,217.24,277.72
