"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/23/2012 00:05:00","CAPITL",61757,24.76,1.45,0.00
"05/23/2012 00:05:00","CENTRL",61754,23.99,0.68,0.00
"05/23/2012 00:05:00","DUNWOD",61760,25.35,2.03,0.00
"05/23/2012 00:05:00","GENESE",61753,24.02,0.70,0.00
"05/23/2012 00:05:00","H Q",61844,22.76,-0.56,0.00
"05/23/2012 00:05:00","HUD VL",61758,25.49,2.17,0.00
"05/23/2012 00:05:00","LONGIL",61762,25.84,2.52,0.00
"05/23/2012 00:05:00","MHK VL",61756,24.16,0.84,0.00
"05/23/2012 00:05:00","MILLWD",61759,25.39,2.08,0.00
"05/23/2012 00:05:00","N.Y.C.",61761,25.49,2.17,0.00
"05/23/2012 00:05:00","NORTH",61755,22.71,-0.61,0.00
"05/23/2012 00:05:00","NPX",61845,24.83,1.52,0.00
"05/23/2012 00:05:00","O H",61846,23.48,0.16,0.00
"05/23/2012 00:05:00","PJM",61847,24.18,0.86,0.00
"05/23/2012 00:05:00","WEST",61752,24.04,0.72,0.00
"05/23/2012 00:10:00","CAPITL",61757,24.49,1.43,0.00
"05/23/2012 00:10:00","CENTRL",61754,23.66,0.60,0.00
"05/23/2012 00:10:00","DUNWOD",61760,25.02,1.96,0.00
"05/23/2012 00:10:00","GENESE",61753,23.66,0.60,0.00
"05/23/2012 00:10:00","H Q",61844,22.55,-0.51,0.00
"05/23/2012 00:10:00","HUD VL",61758,25.16,2.10,0.00
"05/23/2012 00:10:00","LONGIL",61762,25.50,2.44,0.00
"05/23/2012 00:10:00","MHK VL",61756,23.84,0.78,0.00
"05/23/2012 00:10:00","MILLWD",61759,25.09,2.03,0.00
"05/23/2012 00:10:00","N.Y.C.",61761,25.16,2.10,0.00
"05/23/2012 00:10:00","NORTH",61755,22.53,-0.53,0.00
"05/23/2012 00:10:00","NPX",61845,24.56,1.50,0.00
"05/23/2012 00:10:00","O H",61846,23.08,0.02,0.00
"05/23/2012 00:10:00","PJM",61847,23.77,0.71,0.00
"05/23/2012 00:10:00","WEST",61752,23.63,0.58,0.00
"05/23/2012 00:15:00","CAPITL",61757,24.98,1.44,0.00
"05/23/2012 00:15:00","CENTRL",61754,24.29,0.75,0.00
"05/23/2012 00:15:00","DUNWOD",61760,25.38,1.84,0.00
"05/23/2012 00:15:00","GENESE",61753,24.20,0.66,0.00
"05/23/2012 00:15:00","H Q",61844,23.00,-0.54,0.00
"05/23/2012 00:15:00","HUD VL",61758,25.54,2.00,0.00
"05/23/2012 00:15:00","LONGIL",61762,25.94,2.40,0.00
"05/23/2012 00:15:00","MHK VL",61756,24.34,0.80,0.00
"05/23/2012 00:15:00","MILLWD",61759,25.45,1.91,0.00
"05/23/2012 00:15:00","N.Y.C.",61761,25.49,1.95,0.00
"05/23/2012 00:15:00","NORTH",61755,23.02,-0.52,0.00
"05/23/2012 00:15:00","NPX",61845,25.00,1.46,0.00
"05/23/2012 00:15:00","O H",61846,23.77,0.24,0.00
"05/23/2012 00:15:00","PJM",61847,24.48,0.94,0.00
"05/23/2012 00:15:00","WEST",61752,24.27,0.73,0.00
