"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/24/2013 00:05:00","CAPITL",61757,30.12,1.76,0.00
"08/24/2013 00:05:00","CENTRL",61754,28.27,-0.08,0.00
"08/24/2013 00:05:00","DUNWOD",61760,31.11,2.75,0.00
"08/24/2013 00:05:00","GENESE",61753,27.73,-0.62,0.00
"08/24/2013 00:05:00","H Q",61844,27.79,-0.57,0.00
"08/24/2013 00:05:00","HUD VL",61758,31.14,2.78,0.00
"08/24/2013 00:05:00","LONGIL",61762,31.85,3.49,-0.01
"08/24/2013 00:05:00","MHK VL",61756,29.09,0.74,0.00
"08/24/2013 00:05:00","MILLWD",61759,31.11,2.75,0.00
"08/24/2013 00:05:00","N.Y.C.",61761,31.43,3.06,-0.01
"08/24/2013 00:05:00","NORTH",61755,27.79,-0.57,0.00
"08/24/2013 00:05:00","NPX",61845,30.31,1.96,0.00
"08/24/2013 00:05:00","O H",61846,26.66,-1.70,0.00
"08/24/2013 00:05:00","PJM",61847,28.58,0.23,0.00
"08/24/2013 00:05:00","WEST",61752,27.08,-1.28,0.00
"08/24/2013 00:10:00","CAPITL",61757,28.01,1.61,0.00
"08/24/2013 00:10:00","CENTRL",61754,26.29,-0.11,0.00
"08/24/2013 00:10:00","DUNWOD",61760,28.91,2.51,0.00
"08/24/2013 00:10:00","GENESE",61753,25.93,-0.47,0.00
"08/24/2013 00:10:00","H Q",61844,25.87,-0.53,0.00
"08/24/2013 00:10:00","HUD VL",61758,28.93,2.53,0.00
"08/24/2013 00:10:00","LONGIL",61762,29.36,2.96,0.00
"08/24/2013 00:10:00","MHK VL",61756,27.06,0.66,0.00
"08/24/2013 00:10:00","MILLWD",61759,28.88,2.48,0.00
"08/24/2013 00:10:00","N.Y.C.",61761,29.18,2.77,0.00
"08/24/2013 00:10:00","NORTH",61755,25.90,-0.50,0.00
"08/24/2013 00:10:00","NPX",61845,28.20,1.80,0.00
"08/24/2013 00:10:00","O H",61846,24.92,-1.48,0.00
"08/24/2013 00:10:00","PJM",61847,26.56,0.16,0.00
"08/24/2013 00:10:00","WEST",61752,25.37,-1.03,0.00
"08/24/2013 00:10:39","CAPITL",61757,36.16,2.08,0.00
"08/24/2013 00:10:39","CENTRL",61754,33.98,-0.10,0.00
"08/24/2013 00:10:39","DUNWOD",61760,37.25,3.17,0.00
"08/24/2013 00:10:39","GENESE",61753,33.33,-0.75,0.00
"08/24/2013 00:10:39","H Q",61844,33.36,-0.72,0.00
"08/24/2013 00:10:39","HUD VL",61758,37.38,3.30,0.00
"08/24/2013 00:10:39","LONGIL",61762,37.80,3.72,0.00
"08/24/2013 00:10:39","MHK VL",61756,34.93,0.85,0.00
"08/24/2013 00:10:39","MILLWD",61759,37.21,3.13,0.00
"08/24/2013 00:10:39","N.Y.C.",61761,37.56,3.48,0.00
"08/24/2013 00:10:39","NORTH",61755,33.36,-0.72,0.00
"08/24/2013 00:10:39","NPX",61845,36.33,2.25,0.00
"08/24/2013 00:10:39","O H",61846,31.97,-2.11,0.00
"08/24/2013 00:10:39","PJM",61847,34.25,0.17,0.00
"08/24/2013 00:10:39","WEST",61752,32.48,-1.60,0.00
"08/24/2013 00:14:27","CAPITL",61757,39.27,2.12,0.00
"08/24/2013 00:14:27","CENTRL",61754,37.31,0.15,0.00
"08/24/2013 00:14:27","DUNWOD",61760,40.57,3.42,0.00
"08/24/2013 00:14:27","GENESE",61753,36.45,-0.71,0.00
"08/24/2013 00:14:27","H Q",61844,36.34,-0.82,0.00
"08/24/2013 00:14:27","HUD VL",61758,40.76,3.60,0.00
"08/24/2013 00:14:27","LONGIL",61762,41.50,4.35,0.00
"08/24/2013 00:14:27","MHK VL",61756,38.12,0.96,0.00
"08/24/2013 00:14:27","MILLWD",61759,40.54,3.38,0.00
"08/24/2013 00:14:27","N.Y.C.",61761,40.84,3.68,0.00
"08/24/2013 00:14:27","NORTH",61755,36.30,-0.85,0.00
"08/24/2013 00:14:27","NPX",61845,39.50,2.34,0.00
"08/24/2013 00:14:27","O H",61846,35.22,-1.93,0.00
"08/24/2013 00:14:27","PJM",61847,37.75,0.59,0.00
"08/24/2013 00:14:27","WEST",61752,35.74,-1.41,0.00
"08/24/2013 00:15:00","CAPITL",61757,39.10,2.14,0.00
"08/24/2013 00:15:00","CENTRL",61754,37.15,0.19,0.00
"08/24/2013 00:15:00","DUNWOD",61760,40.32,3.36,0.00
"08/24/2013 00:15:00","GENESE",61753,36.33,-0.63,0.00
"08/24/2013 00:15:00","H Q",61844,36.15,-0.81,0.00
"08/24/2013 00:15:00","HUD VL",61758,40.51,3.55,0.00
"08/24/2013 00:15:00","LONGIL",61762,41.28,4.32,0.00
"08/24/2013 00:15:00","MHK VL",61756,37.92,0.96,0.00
"08/24/2013 00:15:00","MILLWD",61759,40.29,3.33,0.00
"08/24/2013 00:15:00","N.Y.C.",61761,40.54,3.58,0.00
"08/24/2013 00:15:00","NORTH",61755,36.11,-0.85,0.00
"08/24/2013 00:15:00","NPX",61845,39.25,2.29,0.00
"08/24/2013 00:15:00","O H",61846,35.19,-1.77,0.00
"08/24/2013 00:15:00","PJM",61847,37.63,0.67,0.00
"08/24/2013 00:15:00","WEST",61752,35.70,-1.26,0.00
"08/24/2013 00:20:00","CAPITL",61757,39.10,2.14,0.00
"08/24/2013 00:20:00","CENTRL",61754,37.15,0.19,0.00
"08/24/2013 00:20:00","DUNWOD",61760,40.32,3.36,0.00
"08/24/2013 00:20:00","GENESE",61753,36.33,-0.63,0.00
"08/24/2013 00:20:00","H Q",61844,36.15,-0.81,0.00
"08/24/2013 00:20:00","HUD VL",61758,40.51,3.55,0.00
"08/24/2013 00:20:00","LONGIL",61762,41.28,4.32,0.00
"08/24/2013 00:20:00","MHK VL",61756,37.92,0.96,0.00
"08/24/2013 00:20:00","MILLWD",61759,40.29,3.33,0.00
"08/24/2013 00:20:00","N.Y.C.",61761,40.54,3.58,0.00
"08/24/2013 00:20:00","NORTH",61755,36.11,-0.85,0.00
"08/24/2013 00:20:00","NPX",61845,39.25,2.29,0.00
"08/24/2013 00:20:00","O H",61846,35.19,-1.77,0.00
"08/24/2013 00:20:00","PJM",61847,37.63,0.67,0.00
"08/24/2013 00:20:00","WEST",61752,35.70,-1.26,0.00
"08/24/2013 00:25:00","CAPITL",61757,38.98,2.14,0.00
"08/24/2013 00:25:00","CENTRL",61754,37.06,0.22,0.00
"08/24/2013 00:25:00","DUNWOD",61760,40.16,3.32,0.00
"08/24/2013 00:25:00","GENESE",61753,36.25,-0.59,0.00
"08/24/2013 00:25:00","H Q",61844,36.03,-0.81,0.00
"08/24/2013 00:25:00","HUD VL",61758,40.38,3.54,0.00
"08/24/2013 00:25:00","LONGIL",61762,41.11,4.27,0.00
"08/24/2013 00:25:00","MHK VL",61756,37.84,1.00,0.00
"08/24/2013 00:25:00","MILLWD",61759,40.12,3.28,0.00
"08/24/2013 00:25:00","N.Y.C.",61761,40.41,3.57,0.00
"08/24/2013 00:25:00","NORTH",61755,35.96,-0.88,0.00
"08/24/2013 00:25:00","NPX",61845,39.13,2.28,0.00
"08/24/2013 00:25:00","O H",61846,35.18,-1.66,0.00
"08/24/2013 00:25:00","PJM",61847,37.58,0.74,0.00
"08/24/2013 00:25:00","WEST",61752,35.74,-1.10,0.00
"08/24/2013 00:30:00","CAPITL",61757,38.58,2.08,0.00
"08/24/2013 00:30:00","CENTRL",61754,36.64,0.15,0.00
"08/24/2013 00:30:00","DUNWOD",61760,39.82,3.32,0.00
"08/24/2013 00:30:00","GENESE",61753,35.84,-0.66,0.00
"08/24/2013 00:30:00","H Q",61844,35.69,-0.80,0.00
"08/24/2013 00:30:00","HUD VL",61758,40.00,3.50,0.00
"08/24/2013 00:30:00","LONGIL",61762,40.76,4.27,0.00
"08/24/2013 00:30:00","MHK VL",61756,37.48,0.99,0.00
"08/24/2013 00:30:00","MILLWD",61759,39.78,3.29,0.00
"08/24/2013 00:30:00","N.Y.C.",61761,40.07,3.58,0.00
"08/24/2013 00:30:00","NORTH",61755,35.66,-0.84,0.00
"08/24/2013 00:30:00","NPX",61845,38.72,2.23,0.00
"08/24/2013 00:30:00","O H",61846,34.74,-1.75,0.00
"08/24/2013 00:30:00","PJM",61847,37.15,0.66,0.00
"08/24/2013 00:30:00","WEST",61752,35.29,-1.20,0.00
"08/24/2013 00:35:00","CAPITL",61757,39.35,2.16,0.00
"08/24/2013 00:35:00","CENTRL",61754,37.27,0.07,0.00
"08/24/2013 00:35:00","DUNWOD",61760,40.61,3.42,0.00
"08/24/2013 00:35:00","GENESE",61753,36.41,-0.78,0.00
"08/24/2013 00:35:00","H Q",61844,36.38,-0.82,0.00
"08/24/2013 00:35:00","HUD VL",61758,40.80,3.61,0.00
"08/24/2013 00:35:00","LONGIL",61762,41.54,4.35,0.00
"08/24/2013 00:35:00","MHK VL",61756,38.16,0.97,0.00
"08/24/2013 00:35:00","MILLWD",61759,40.58,3.38,0.00
"08/24/2013 00:35:00","N.Y.C.",61761,40.88,3.68,0.00
"08/24/2013 00:35:00","NORTH",61755,36.34,-0.85,0.00
"08/24/2013 00:35:00","NPX",61845,39.54,2.34,0.00
"08/24/2013 00:35:00","O H",61846,35.15,-2.05,0.00
"08/24/2013 00:35:00","PJM",61847,37.64,0.45,0.00
"08/24/2013 00:35:00","WEST",61752,35.67,-1.53,0.00
"08/24/2013 00:40:00","CAPITL",61757,38.35,2.14,0.00
"08/24/2013 00:40:00","CENTRL",61754,36.25,0.04,0.00
"08/24/2013 00:40:00","DUNWOD",61760,39.54,3.33,0.00
"08/24/2013 00:40:00","GENESE",61753,35.42,-0.80,0.00
"08/24/2013 00:40:00","H Q",61844,35.45,-0.76,0.00
"08/24/2013 00:40:00","HUD VL",61758,39.69,3.48,0.00
"08/24/2013 00:40:00","LONGIL",61762,40.53,4.31,-0.01
"08/24/2013 00:40:00","MHK VL",61756,37.15,0.94,0.00
"08/24/2013 00:40:00","MILLWD",61759,39.51,3.30,0.00
