"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"07/06/2016 00:05:00","CAPITL",61757,24.73,1.55,0.00
"07/06/2016 00:05:00","CENTRL",61754,23.60,0.42,0.00
"07/06/2016 00:05:00","DUNWOD",61760,25.50,2.32,0.00
"07/06/2016 00:05:00","GENESE",61753,23.53,0.35,0.00
"07/06/2016 00:05:00","H Q",61844,22.32,-0.86,0.00
"07/06/2016 00:05:00","HUD VL",61758,25.40,2.23,0.00
"07/06/2016 00:05:00","LONGIL",61762,42.32,2.94,-16.20
"07/06/2016 00:05:00","MHK VL",61756,24.01,0.83,0.00
"07/06/2016 00:05:00","MILLWD",61759,25.50,2.32,0.00
"07/06/2016 00:05:00","N.Y.C.",61761,27.42,2.48,-1.75
"07/06/2016 00:05:00","NORTH",61755,22.02,-1.16,0.00
"07/06/2016 00:05:00","NPX",61845,24.87,1.69,0.00
"07/06/2016 00:05:00","O H",61846,22.58,-0.60,0.00
"07/06/2016 00:05:00","PJM",61847,23.55,0.37,0.00
"07/06/2016 00:05:00","WEST",61752,23.02,-0.16,0.00
"07/06/2016 00:10:00","CAPITL",61757,22.23,1.40,0.00
"07/06/2016 00:10:00","CENTRL",61754,21.23,0.39,0.00
"07/06/2016 00:10:00","DUNWOD",61760,22.92,2.08,0.00
"07/06/2016 00:10:00","GENESE",61753,21.13,0.29,0.00
"07/06/2016 00:10:00","H Q",61844,20.06,-0.77,0.00
"07/06/2016 00:10:00","HUD VL",61758,22.85,2.02,0.00
"07/06/2016 00:10:00","LONGIL",61762,41.66,2.65,-18.18
"07/06/2016 00:10:00","MHK VL",61756,21.60,0.77,0.00
"07/06/2016 00:10:00","MILLWD",61759,22.94,2.10,0.00
"07/06/2016 00:10:00","N.Y.C.",61761,25.28,2.25,-2.19
"07/06/2016 00:10:00","NORTH",61755,19.79,-1.04,0.00
"07/06/2016 00:10:00","NPX",61845,22.35,1.52,0.00
"07/06/2016 00:10:00","O H",61846,20.29,-0.54,0.00
"07/06/2016 00:10:00","PJM",61847,21.19,0.35,0.00
"07/06/2016 00:10:00","WEST",61752,20.69,-0.14,0.00
"07/06/2016 00:15:00","CAPITL",61757,27.93,1.80,0.00
"07/06/2016 00:15:00","CENTRL",61754,26.49,0.37,0.00
"07/06/2016 00:15:00","DUNWOD",61760,28.79,2.67,0.00
"07/06/2016 00:15:00","GENESE",61753,26.31,0.18,0.00
"07/06/2016 00:15:00","H Q",61844,25.19,-0.94,0.00
"07/06/2016 00:15:00","HUD VL",61758,28.69,2.56,0.00
"07/06/2016 00:15:00","LONGIL",61762,72.56,3.34,-43.09
"07/06/2016 00:15:00","MHK VL",61756,27.04,0.91,0.00
"07/06/2016 00:15:00","MILLWD",61759,28.79,2.67,0.00
"07/06/2016 00:15:00","N.Y.C.",61761,29.00,2.87,0.00
"07/06/2016 00:15:00","NORTH",61755,24.85,-1.28,0.00
"07/06/2016 00:15:00","NPX",61845,28.11,1.98,0.00
"07/06/2016 00:15:00","O H",61846,25.16,-0.97,0.00
"07/06/2016 00:15:00","PJM",61847,26.36,0.23,0.00
"07/06/2016 00:15:00","WEST",61752,25.63,-0.50,0.00
"07/06/2016 00:20:00","CAPITL",61757,27.90,1.80,0.00
"07/06/2016 00:20:00","CENTRL",61754,26.50,0.39,0.00
"07/06/2016 00:20:00","DUNWOD",61760,28.79,2.69,0.00
"07/06/2016 00:20:00","GENESE",61753,26.26,0.16,0.00
"07/06/2016 00:20:00","H Q",61844,25.16,-0.94,0.00
"07/06/2016 00:20:00","HUD VL",61758,28.69,2.58,0.00
"07/06/2016 00:20:00","LONGIL",61762,72.54,3.37,-43.07
"07/06/2016 00:20:00","MHK VL",61756,27.02,0.91,0.00
"07/06/2016 00:20:00","MILLWD",61759,28.79,2.69,0.00
"07/06/2016 00:20:00","N.Y.C.",61761,29.00,2.90,0.00
"07/06/2016 00:20:00","NORTH",61755,24.80,-1.30,0.00
"07/06/2016 00:20:00","NPX",61845,28.09,1.98,0.00
"07/06/2016 00:20:00","O H",61846,25.16,-0.94,0.00
"07/06/2016 00:20:00","PJM",61847,26.42,0.31,0.00
"07/06/2016 00:20:00","WEST",61752,25.61,-0.50,0.00
"07/06/2016 00:25:00","CAPITL",61757,23.04,1.49,0.00
"07/06/2016 00:25:00","CENTRL",61754,21.84,0.28,0.00
"07/06/2016 00:25:00","DUNWOD",61760,23.78,2.22,0.00
"07/06/2016 00:25:00","GENESE",61753,21.64,0.09,0.00
"07/06/2016 00:25:00","H Q",61844,20.78,-0.78,0.00
"07/06/2016 00:25:00","HUD VL",61758,23.69,2.13,0.00
"07/06/2016 00:25:00","LONGIL",61762,39.32,2.76,-15.00
"07/06/2016 00:25:00","MHK VL",61756,22.31,0.75,0.00
"07/06/2016 00:25:00","MILLWD",61759,23.78,2.22,0.00
"07/06/2016 00:25:00","N.Y.C.",61761,23.95,2.39,0.00
"07/06/2016 00:25:00","NORTH",61755,20.50,-1.06,0.00
"07/06/2016 00:25:00","NPX",61845,23.22,1.66,0.00
"07/06/2016 00:25:00","O H",61846,20.74,-0.82,0.00
"07/06/2016 00:25:00","PJM",61847,21.77,0.22,0.00
"07/06/2016 00:25:00","WEST",61752,21.08,-0.47,0.00
"07/06/2016 00:30:00","CAPITL",61757,23.90,1.56,0.00
"07/06/2016 00:30:00","CENTRL",61754,22.60,0.27,0.00
"07/06/2016 00:30:00","DUNWOD",61760,24.63,2.30,0.00
"07/06/2016 00:30:00","GENESE",61753,22.40,0.07,0.00
"07/06/2016 00:30:00","H Q",61844,21.53,-0.80,0.00
"07/06/2016 00:30:00","HUD VL",61758,24.55,2.21,0.00
"07/06/2016 00:30:00","LONGIL",61762,39.32,2.88,-14.11
"07/06/2016 00:30:00","MHK VL",61756,23.09,0.76,0.00
"07/06/2016 00:30:00","MILLWD",61759,24.66,2.32,0.00
"07/06/2016 00:30:00","N.Y.C.",61761,24.81,2.48,0.00
"07/06/2016 00:30:00","NORTH",61755,21.22,-1.12,0.00
"07/06/2016 00:30:00","NPX",61845,24.08,1.74,0.00
"07/06/2016 00:30:00","O H",61846,21.42,-0.92,0.00
"07/06/2016 00:30:00","PJM",61847,22.53,0.20,0.00
"07/06/2016 00:30:00","WEST",61752,21.80,-0.54,0.00
"07/06/2016 00:35:00","CAPITL",61757,27.49,1.85,0.00
"07/06/2016 00:35:00","CENTRL",61754,25.92,0.28,0.00
"07/06/2016 00:35:00","DUNWOD",61760,28.28,2.64,0.00
