"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"04/29/2015 00:05:00","CAPITL",61757,35.83,1.77,0.00
"04/29/2015 00:05:00","CENTRL",61754,34.50,0.44,0.00
"04/29/2015 00:05:00","DUNWOD",61760,37.06,3.00,0.00
"04/29/2015 00:05:00","GENESE",61753,33.92,-0.14,0.00
"04/29/2015 00:05:00","H Q",61844,33.45,-0.61,0.00
"04/29/2015 00:05:00","HUD VL",61758,36.95,2.89,0.00
"04/29/2015 00:05:00","LONGIL",61762,37.84,3.78,0.00
"04/29/2015 00:05:00","MHK VL",61756,34.54,0.48,0.00
"04/29/2015 00:05:00","MILLWD",61759,37.02,2.96,0.00
"04/29/2015 00:05:00","N.Y.C.",61761,37.30,3.24,0.00
"04/29/2015 00:05:00","NORTH",61755,33.11,-0.95,0.00
"04/29/2015 00:05:00","NPX",61845,36.51,2.45,0.00
"04/29/2015 00:05:00","O H",61846,33.68,-0.37,0.00
"04/29/2015 00:05:00","PJM",61847,35.76,1.70,0.00
"04/29/2015 00:05:00","WEST",61752,34.20,0.14,0.00
"04/29/2015 00:10:00","CAPITL",61757,33.62,1.66,0.00
"04/29/2015 00:10:00","CENTRL",61754,32.41,0.45,0.00
"04/29/2015 00:10:00","DUNWOD",61760,34.74,2.78,0.00
"04/29/2015 00:10:00","GENESE",61753,31.83,-0.13,0.00
"04/29/2015 00:10:00","H Q",61844,31.39,-0.57,0.00
"04/29/2015 00:10:00","HUD VL",61758,34.65,2.69,0.00
"04/29/2015 00:10:00","LONGIL",61762,35.41,3.45,0.00
"04/29/2015 00:10:00","MHK VL",61756,32.41,0.45,0.00
"04/29/2015 00:10:00","MILLWD",61759,34.71,2.75,0.00
"04/29/2015 00:10:00","N.Y.C.",61761,34.97,3.00,0.00
"04/29/2015 00:10:00","NORTH",61755,31.07,-0.89,0.00
"04/29/2015 00:10:00","NPX",61845,34.26,2.30,0.00
"04/29/2015 00:10:00","O H",61846,31.67,-0.29,0.00
"04/29/2015 00:10:00","PJM",61847,33.56,1.60,0.00
"04/29/2015 00:10:00","WEST",61752,32.15,0.19,0.00
"04/29/2015 00:15:00","CAPITL",61757,25.07,1.22,0.00
"04/29/2015 00:15:00","CENTRL",61754,24.19,0.33,0.00
"04/29/2015 00:15:00","DUNWOD",61760,25.90,2.05,0.00
"04/29/2015 00:15:00","GENESE",61753,23.80,-0.05,0.00
"04/29/2015 00:15:00","H Q",61844,23.42,-0.43,0.00
"04/29/2015 00:15:00","HUD VL",61758,25.83,1.98,0.00
"04/29/2015 00:15:00","LONGIL",61762,26.41,2.55,0.00
"04/29/2015 00:15:00","MHK VL",61756,24.19,0.33,0.00
"04/29/2015 00:15:00","MILLWD",61759,25.88,2.03,0.00
"04/29/2015 00:15:00","N.Y.C.",61761,26.07,2.22,0.00
"04/29/2015 00:15:00","NORTH",61755,23.16,-0.69,0.00
"04/29/2015 00:15:00","NPX",61845,25.57,1.72,0.00
"04/29/2015 00:15:00","O H",61846,23.69,-0.17,0.00
"04/29/2015 00:15:00","PJM",61847,25.04,1.19,0.00
"04/29/2015 00:15:00","WEST",61752,24.04,0.19,0.00
"04/29/2015 00:20:00","CAPITL",61757,27.01,1.31,0.00
"04/29/2015 00:20:00","CENTRL",61754,26.03,0.33,0.00
"04/29/2015 00:20:00","DUNWOD",61760,27.96,2.26,0.00
"04/29/2015 00:20:00","GENESE",61753,25.62,-0.08,0.00
"04/29/2015 00:20:00","H Q",61844,25.21,-0.49,0.00
"04/29/2015 00:20:00","HUD VL",61758,27.88,2.18,0.00
"04/29/2015 00:20:00","LONGIL",61762,28.47,2.78,0.00
"04/29/2015 00:20:00","MHK VL",61756,26.06,0.36,0.00
"04/29/2015 00:20:00","MILLWD",61759,27.93,2.23,0.00
"04/29/2015 00:20:00","N.Y.C.",61761,28.14,2.44,0.00
"04/29/2015 00:20:00","NORTH",61755,24.95,-0.75,0.00
"04/29/2015 00:20:00","NPX",61845,27.55,1.85,0.00
"04/29/2015 00:20:00","O H",61846,25.47,-0.23,0.00
"04/29/2015 00:20:00","PJM",61847,27.01,1.31,0.00
"04/29/2015 00:20:00","WEST",61752,25.85,0.16,0.00
"04/29/2015 00:25:00","CAPITL",61757,24.13,1.13,0.00
"04/29/2015 00:25:00","CENTRL",61754,23.39,0.39,0.00
"04/29/2015 00:25:00","DUNWOD",61760,24.93,1.93,0.00
"04/29/2015 00:25:00","GENESE",61753,23.02,0.02,0.00
"04/29/2015 00:25:00","H Q",61844,22.59,-0.41,0.00
"04/29/2015 00:25:00","HUD VL",61758,24.89,1.89,0.00
"04/29/2015 00:25:00","LONGIL",61762,25.39,2.39,0.00
"04/29/2015 00:25:00","MHK VL",61756,23.35,0.35,0.00
"04/29/2015 00:25:00","MILLWD",61759,24.91,1.91,0.00
"04/29/2015 00:25:00","N.Y.C.",61761,25.07,2.07,0.00
"04/29/2015 00:25:00","NORTH",61755,22.38,-0.62,0.00
"04/29/2015 00:25:00","NPX",61845,24.59,1.59,0.00
"04/29/2015 00:25:00","O H",61846,22.98,-0.02,0.00
"04/29/2015 00:25:00","PJM",61847,24.22,1.22,0.00
"04/29/2015 00:25:00","WEST",61752,23.32,0.32,0.00
"04/29/2015 00:30:00","CAPITL",61757,24.04,1.14,0.00
"04/29/2015 00:30:00","CENTRL",61754,23.22,0.32,0.00
"04/29/2015 00:30:00","DUNWOD",61760,24.82,1.92,0.00
"04/29/2015 00:30:00","GENESE",61753,22.85,-0.05,0.00
"04/29/2015 00:30:00","H Q",61844,22.51,-0.39,0.00
"04/29/2015 00:30:00","HUD VL",61758,24.77,1.88,0.00
"04/29/2015 00:30:00","LONGIL",61762,25.28,2.38,0.00
"04/29/2015 00:30:00","MHK VL",61756,23.22,0.32,0.00
"04/29/2015 00:30:00","MILLWD",61759,24.79,1.90,0.00
"04/29/2015 00:30:00","N.Y.C.",61761,24.98,2.08,0.00
"04/29/2015 00:30:00","NORTH",61755,22.32,-0.57,0.00
"04/29/2015 00:30:00","NPX",61845,24.47,1.58,0.00
"04/29/2015 00:30:00","O H",61846,22.76,-0.14,0.00
"04/29/2015 00:30:00","PJM",61847,24.04,1.14,0.00
"04/29/2015 00:30:00","WEST",61752,23.12,0.23,0.00
"04/29/2015 00:35:00","CAPITL",61757,23.16,1.08,0.00
"04/29/2015 00:35:00","CENTRL",61754,22.39,0.31,0.00
"04/29/2015 00:35:00","DUNWOD",61760,23.91,1.83,0.00
"04/29/2015 00:35:00","GENESE",61753,22.06,-0.02,0.00
"04/29/2015 00:35:00","H Q",61844,21.70,-0.38,0.00
"04/29/2015 00:35:00","HUD VL",61758,23.87,1.79,0.00
"04/29/2015 00:35:00","LONGIL",61762,24.33,2.25,0.00
"04/29/2015 00:35:00","MHK VL",61756,22.39,0.31,0.00
"04/29/2015 00:35:00","MILLWD",61759,23.89,1.81,0.00
"04/29/2015 00:35:00","N.Y.C.",61761,24.07,1.99,0.00
"04/29/2015 00:35:00","NORTH",61755,21.55,-0.53,0.00
"04/29/2015 00:35:00","NPX",61845,23.60,1.52,0.00
"04/29/2015 00:35:00","O H",61846,21.99,-0.09,0.00
"04/29/2015 00:35:00","PJM",61847,23.18,1.10,0.00
"04/29/2015 00:35:00","WEST",61752,22.32,0.24,0.00
"04/29/2015 00:40:00","CAPITL",61757,23.12,1.10,0.00
"04/29/2015 00:40:00","CENTRL",61754,22.35,0.33,0.00
"04/29/2015 00:40:00","DUNWOD",61760,23.89,1.87,0.00
"04/29/2015 00:40:00","GENESE",61753,21.97,-0.04,0.00
"04/29/2015 00:40:00","H Q",61844,21.62,-0.40,0.00
"04/29/2015 00:40:00","HUD VL",61758,23.84,1.83,0.00
"04/29/2015 00:40:00","LONGIL",61762,24.29,2.27,0.00
"04/29/2015 00:40:00","MHK VL",61756,22.33,0.31,0.00
"04/29/2015 00:40:00","MILLWD",61759,23.87,1.85,0.00
"04/29/2015 00:40:00","N.Y.C.",61761,24.04,2.02,0.00
"04/29/2015 00:40:00","NORTH",61755,21.42,-0.59,0.00
"04/29/2015 00:40:00","NPX",61845,23.56,1.54,0.00
"04/29/2015 00:40:00","O H",61846,21.93,-0.09,0.00
"04/29/2015 00:40:00","PJM",61847,23.16,1.14,0.00
"04/29/2015 00:40:00","WEST",61752,22.26,0.24,0.00
"04/29/2015 00:45:00","CAPITL",61757,23.10,1.12,0.00
"04/29/2015 00:45:00","CENTRL",61754,22.24,0.26,0.00
"04/29/2015 00:45:00","DUNWOD",61760,23.87,1.89,0.00
"04/29/2015 00:45:00","GENESE",61753,21.87,-0.11,0.00
"04/29/2015 00:45:00","H Q",61844,21.58,-0.39,0.00
"04/29/2015 00:45:00","HUD VL",61758,23.83,1.85,0.00
"04/29/2015 00:45:00","LONGIL",61762,24.26,2.29,0.00
"04/29/2015 00:45:00","MHK VL",61756,22.26,0.28,0.00
"04/29/2015 00:45:00","MILLWD",61759,23.85,1.87,0.00
"04/29/2015 00:45:00","N.Y.C.",61761,24.02,2.04,0.00
"04/29/2015 00:45:00","NORTH",61755,21.41,-0.57,0.00
"04/29/2015 00:45:00","NPX",61845,23.56,1.58,0.00
"04/29/2015 00:45:00","O H",61846,21.76,-0.22,0.00
"04/29/2015 00:45:00","PJM",61847,23.06,1.08,0.00
"04/29/2015 00:45:00","WEST",61752,22.09,0.11,0.00
"04/29/2015 00:50:00","CAPITL",61757,23.14,1.10,0.00
"04/29/2015 00:50:00","CENTRL",61754,22.37,0.33,0.00
"04/29/2015 00:50:00","DUNWOD",61760,23.87,1.83,0.00
"04/29/2015 00:50:00","GENESE",61753,22.00,-0.04,0.00
"04/29/2015 00:50:00","H Q",61844,21.64,-0.40,0.00
"04/29/2015 00:50:00","HUD VL",61758,23.82,1.78,0.00
"04/29/2015 00:50:00","LONGIL",61762,24.26,2.23,0.00
"04/29/2015 00:50:00","MHK VL",61756,22.35,0.31,0.00
"04/29/2015 00:50:00","MILLWD",61759,23.87,1.83,0.00
"04/29/2015 00:50:00","N.Y.C.",61761,24.02,1.98,0.00
"04/29/2015 00:50:00","NORTH",61755,21.47,-0.57,0.00
"04/29/2015 00:50:00","NPX",61845,23.58,1.54,0.00
"04/29/2015 00:50:00","O H",61846,21.95,-0.09,0.00
"04/29/2015 00:50:00","PJM",61847,23.16,1.12,0.00
"04/29/2015 00:50:00","WEST",61752,22.28,0.24,0.00
"04/29/2015 00:55:00","CAPITL",61757,23.10,1.12,0.00
"04/29/2015 00:55:00","CENTRL",61754,22.29,0.31,0.00
"04/29/2015 00:55:00","DUNWOD",61760,23.85,1.87,0.00
"04/29/2015 00:55:00","GENESE",61753,21.87,-0.11,0.00
"04/29/2015 00:55:00","H Q",61844,21.58,-0.39,0.00
"04/29/2015 00:55:00","HUD VL",61758,23.80,1.82,0.00
"04/29/2015 00:55:00","LONGIL",61762,24.22,2.24,0.00
"04/29/2015 00:55:00","MHK VL",61756,22.26,0.28,0.00
"04/29/2015 00:55:00","MILLWD",61759,23.83,1.85,0.00
"04/29/2015 00:55:00","N.Y.C.",61761,24.00,2.02,0.00
"04/29/2015 00:55:00","NORTH",61755,21.39,-0.59,0.00
"04/29/2015 00:55:00","NPX",61845,23.54,1.56,0.00
"04/29/2015 00:55:00","O H",61846,21.80,-0.18,0.00
"04/29/2015 00:55:00","PJM",61847,23.10,1.12,0.00
"04/29/2015 00:55:00","WEST",61752,22.13,0.15,0.00
"04/29/2015 01:00:00","CAPITL",61757,23.16,1.10,0.00
"04/29/2015 01:00:00","CENTRL",61754,22.30,0.24,0.00
