"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"04/25/2013 00:05:00","CAPITL",61757,62.06,-0.32,-67.52
"04/25/2013 00:05:00","CENTRL",61754,4.23,-0.06,-9.43
"04/25/2013 00:05:00","DUNWOD",61760,49.84,-0.52,-55.50
"04/25/2013 00:05:00","GENESE",61753,2.29,0.06,-7.37
"04/25/2013 00:05:00","H Q",61844,-5.03,0.11,0.00
"04/25/2013 00:05:00","HUD VL",61758,49.62,-0.62,-55.39
"04/25/2013 00:05:00","LONGIL",61762,49.69,-0.67,-55.51
"04/25/2013 00:05:00","MHK VL",61756,3.45,-0.09,-8.69
"04/25/2013 00:05:00","MILLWD",61759,50.11,-0.51,-55.76
"04/25/2013 00:05:00","N.Y.C.",61761,49.83,-0.53,-55.50
"04/25/2013 00:05:00","NORTH",61755,-4.92,0.23,0.00
"04/25/2013 00:05:00","NPX",61845,45.41,0.10,-44.16
"04/25/2013 00:05:00","O H",61846,4.81,0.20,-9.75
"04/25/2013 00:05:00","PJM",61847,7.05,0.02,-12.17
"04/25/2013 00:05:00","WEST",61752,4.45,0.13,-9.47
"04/25/2013 00:10:00","CAPITL",61757,83.64,-0.99,-100.66
"04/25/2013 00:10:00","CENTRL",61754,-2.21,-0.24,-14.06
"04/25/2013 00:10:00","DUNWOD",61760,65.14,-1.57,-82.74
"04/25/2013 00:10:00","GENESE",61753,-4.93,0.11,-10.99
"04/25/2013 00:10:00","H Q",61844,-15.66,0.37,0.00
"04/25/2013 00:10:00","HUD VL",61758,64.64,-1.91,-82.57
"04/25/2013 00:10:00","LONGIL",61762,64.68,-2.04,-82.75
"04/25/2013 00:10:00","MHK VL",61756,-3.35,-0.27,-12.95
"04/25/2013 00:10:00","MILLWD",61759,65.56,-1.54,-83.13
"04/25/2013 00:10:00","N.Y.C.",61761,65.13,-1.59,-82.74
"04/25/2013 00:10:00","NORTH",61755,-15.27,0.75,0.00
"04/25/2013 00:10:00","NPX",61845,45.41,0.10,-44.16
"04/25/2013 00:10:00","O H",61846,-1.02,0.47,-14.54
"04/25/2013 00:10:00","PJM",61847,2.04,-0.08,-18.14
"04/25/2013 00:10:00","WEST",61752,-1.70,0.21,-14.12
"04/25/2013 00:13:43","CAPITL",61757,131.91,-1.07,-149.40
"04/25/2013 00:13:43","CENTRL",61754,4.20,-0.26,-20.88
"04/25/2013 00:13:43","DUNWOD",61760,104.99,-1.43,-122.83
"04/25/2013 00:13:43","GENESE",61753,0.03,0.15,-16.30
"04/25/2013 00:13:43","H Q",61844,-16.05,0.36,0.00
"04/25/2013 00:13:43","HUD VL",61758,104.15,-1.92,-122.49
"04/25/2013 00:13:43","LONGIL",61762,104.60,-1.82,-122.84
"04/25/2013 00:13:43","MHK VL",61756,2.76,-0.28,-19.45
"04/25/2013 00:13:43","MILLWD",61759,105.56,-1.41,-123.38
"04/25/2013 00:13:43","N.Y.C.",61761,105.00,-1.41,-122.83
"04/25/2013 00:13:43","NORTH",61755,-15.76,0.66,0.00
"04/25/2013 00:13:43","NPX",61845,45.41,0.10,-44.16
"04/25/2013 00:13:43","O H",61846,5.66,0.49,-21.59
"04/25/2013 00:13:43","PJM",61847,10.36,-0.16,-26.94
"04/25/2013 00:13:43","WEST",61752,4.78,0.25,-20.95
"04/25/2013 00:15:00","CAPITL",61757,73.57,-0.61,-83.63
"04/25/2013 00:15:00","CENTRL",61754,2.12,-0.11,-11.69
"04/25/2013 00:15:00","DUNWOD",61760,58.42,-0.89,-68.76
"04/25/2013 00:15:00","GENESE",61753,-0.23,0.09,-9.12
"04/25/2013 00:15:00","H Q",61844,-9.24,0.21,0.00
"04/25/2013 00:15:00","HUD VL",61758,57.97,-1.15,-68.57
"04/25/2013 00:15:00","LONGIL",61762,58.18,-1.13,-68.76
"04/25/2013 00:15:00","MHK VL",61756,1.28,-0.16,-10.89
"04/25/2013 00:15:00","MILLWD",61759,58.74,-0.88,-69.07
"04/25/2013 00:15:00","N.Y.C.",61761,58.41,-0.90,-68.76
"04/25/2013 00:15:00","NORTH",61755,-9.04,0.41,0.00
"04/25/2013 00:15:00","NPX",61845,45.41,0.10,-44.16
"04/25/2013 00:15:00","O H",61846,2.97,0.34,-12.08
"04/25/2013 00:15:00","PJM",61847,5.67,0.05,-15.08
"04/25/2013 00:15:00","WEST",61752,2.46,0.19,-11.73
"04/25/2013 00:15:19","CAPITL",61757,73.57,-0.61,-83.63
"04/25/2013 00:15:19","CENTRL",61754,2.12,-0.11,-11.69
"04/25/2013 00:15:19","DUNWOD",61760,58.42,-0.89,-68.76
"04/25/2013 00:15:19","GENESE",61753,-0.23,0.09,-9.12
"04/25/2013 00:15:19","H Q",61844,-9.24,0.21,0.00
"04/25/2013 00:15:19","HUD VL",61758,57.97,-1.15,-68.57
"04/25/2013 00:15:19","LONGIL",61762,58.18,-1.13,-68.76
"04/25/2013 00:15:19","MHK VL",61756,1.28,-0.16,-10.89
"04/25/2013 00:15:19","MILLWD",61759,58.74,-0.88,-69.07
"04/25/2013 00:15:19","N.Y.C.",61761,58.41,-0.90,-68.76
"04/25/2013 00:15:19","NORTH",61755,-9.04,0.41,0.00
"04/25/2013 00:15:19","NPX",61845,18.53,0.23,-15.76
"04/25/2013 00:15:19","O H",61846,2.97,0.34,-12.08
"04/25/2013 00:15:19","PJM",61847,5.67,0.05,-15.08
"04/25/2013 00:15:19","WEST",61752,2.46,0.19,-11.73
"04/25/2013 00:20:00","CAPITL",61757,70.48,-0.56,-79.98
"04/25/2013 00:20:00","CENTRL",61754,2.14,-0.10,-11.18
"04/25/2013 00:20:00","DUNWOD",61760,55.98,-0.84,-65.76
"04/25/2013 00:20:00","GENESE",61753,-0.12,0.09,-8.73
"04/25/2013 00:20:00","H Q",61844,-8.75,0.19,0.00
