,1,2,3,4,5,6,7,8,9,10,11,12,total
0,966.95,833.39,603.08,544.16,621.77,595.28,574.84,586.04,778.23,532.75,533.39,704.47,656.2
1,10.19,9.89,7.6,7.4,7.86,6.9,6.67,7.08,10.4,7.49,7.07,8.83,8.11
2,10.61,10.24,7.77,7.46,7.97,6.99,6.74,7.12,10.44,7.54,7.24,9.25,8.28
3,1118.02,985.68,714.56,629.02,710.91,682.35,666.1,688.07,893.63,631.23,643.34,884.61,770.63
