"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"04/12/2016 00:05:00","CAPITL",61757,18.62,1.15,0.00
"04/12/2016 00:05:00","CENTRL",61754,17.90,0.44,0.00
"04/12/2016 00:05:00","DUNWOD",61760,19.19,1.73,0.00
"04/12/2016 00:05:00","GENESE",61753,17.32,-0.14,0.00
"04/12/2016 00:05:00","H Q",61844,16.82,-0.65,0.00
"04/12/2016 00:05:00","HUD VL",61758,19.12,1.66,0.00
"04/12/2016 00:05:00","LONGIL",61762,19.63,2.17,0.00
"04/12/2016 00:05:00","MHK VL",61756,17.94,0.47,0.00
"04/12/2016 00:05:00","MILLWD",61759,19.21,1.75,0.00
"04/12/2016 00:05:00","N.Y.C.",61761,19.30,1.83,0.00
"04/12/2016 00:05:00","NORTH",61755,16.70,-0.77,0.00
"04/12/2016 00:05:00","NPX",61845,18.84,1.38,0.00
"04/12/2016 00:05:00","O H",61846,17.15,-0.31,0.00
"04/12/2016 00:05:00","PJM",61847,18.51,1.05,0.00
"04/12/2016 00:05:00","WEST",61752,17.39,-0.07,0.00
"04/12/2016 00:10:00","CAPITL",61757,18.58,1.18,0.00
"04/12/2016 00:10:00","CENTRL",61754,17.82,0.42,0.00
"04/12/2016 00:10:00","DUNWOD",61760,19.14,1.74,0.00
"04/12/2016 00:10:00","GENESE",61753,17.24,-0.16,0.00
"04/12/2016 00:10:00","H Q",61844,16.76,-0.64,0.00
"04/12/2016 00:10:00","HUD VL",61758,19.05,1.65,0.00
"04/12/2016 00:10:00","LONGIL",61762,19.56,2.16,0.00
"04/12/2016 00:10:00","MHK VL",61756,17.85,0.45,0.00
"04/12/2016 00:10:00","MILLWD",61759,19.14,1.74,0.00
"04/12/2016 00:10:00","N.Y.C.",61761,19.26,1.86,0.00
"04/12/2016 00:10:00","NORTH",61755,16.60,-0.80,0.00
"04/12/2016 00:10:00","NPX",61845,18.81,1.41,0.00
"04/12/2016 00:10:00","O H",61846,17.05,-0.35,0.00
"04/12/2016 00:10:00","PJM",61847,18.44,1.04,0.00
"04/12/2016 00:10:00","WEST",61752,17.30,-0.10,0.00
"04/12/2016 00:15:00","CAPITL",61757,18.52,1.19,0.00
"04/12/2016 00:15:00","CENTRL",61754,17.72,0.40,0.00
"04/12/2016 00:15:00","DUNWOD",61760,19.07,1.75,0.00
"04/12/2016 00:15:00","GENESE",61753,17.13,-0.19,0.00
"04/12/2016 00:15:00","H Q",61844,16.68,-0.64,0.00
"04/12/2016 00:15:00","HUD VL",61758,18.98,1.66,0.00
"04/12/2016 00:15:00","LONGIL",61762,19.52,2.20,0.00
"04/12/2016 00:15:00","MHK VL",61756,17.79,0.47,0.00
"04/12/2016 00:15:00","MILLWD",61759,19.09,1.77,0.00
"04/12/2016 00:15:00","N.Y.C.",61761,19.21,1.89,0.00
"04/12/2016 00:15:00","NORTH",61755,16.51,-0.81,0.00
"04/12/2016 00:15:00","NPX",61845,18.74,1.42,0.00
"04/12/2016 00:15:00","O H",61846,16.91,-0.42,0.00
"04/12/2016 00:15:00","PJM",61847,18.34,1.02,0.00
"04/12/2016 00:15:00","WEST",61752,17.13,-0.19,0.00
"04/12/2016 00:20:00","CAPITL",61757,17.23,1.04,0.00
"04/12/2016 00:20:00","CENTRL",61754,16.75,0.55,0.00
"04/12/2016 00:20:00","DUNWOD",61760,17.77,1.57,0.00
"04/12/2016 00:20:00","GENESE",61753,16.16,-0.03,0.00
"04/12/2016 00:20:00","H Q",61844,15.56,-0.63,0.00
"04/12/2016 00:20:00","HUD VL",61758,17.72,1.52,0.00
"04/12/2016 00:20:00","LONGIL",61762,18.17,1.98,0.00
